Review_ID,Customer_ID,Product_ID,Rating,Review_Text,Review_Date,Sentiment
REV00103,CUST01912,PROD00480,5,Stylish and worth the price.,2024-01-20,Positive
REV00104,CUST00441,PROD00038,4,Stylish and worth the price.,2024-08-05,Positive
REV00105,CUST04921,PROD01809,1,Did not like the material.,2022-01-27,Negative
REV00106,CUST02959,PROD00118,4,Stylish and worth the price.,2024-02-01,Positive
REV00107,CUST03073,PROD01783,5,Stylish and worth the price.,2025-04-12,Positive
REV00108,CUST04275,PROD00826,2,Very poor quality.,2025-07-16,Negative
REV00109,CUST03313,PROD00040,5,Perfect fit and very comfortable.,2024-05-03,Positive
REV00110,CUST01561,PROD00942,4,Highly recommend this product.,2025-03-02,Positive
REV00111,CUST04821,PROD00980,4,Highly recommend this product.,2025-04-30,Positive
REV00112,CUST01971,PROD00145,2,Not worth the money.,2022-12-25,Negative
REV00113,CUST00688,PROD01126,5,Stylish and worth the price.,2023-01-29,Positive
REV00114,CUST01088,PROD00709,5,Highly recommend this product.,2023-04-23,Positive
REV00115,CUST02476,PROD00563,3,"Product is okay, nothing special.",2021-04-17,Neutral
REV00116,CUST03621,PROD01363,5,"Amazing quality, loved it!",2025-07-26,Positive
REV00117,CUST01083,PROD00825,4,Perfect fit and very comfortable.,2021-02-05,Positive
REV00118,CUST01456,PROD01133,4,Perfect fit and very comfortable.,2024-02-16,Positive
REV00119,CUST01941,PROD01943,4,Perfect fit and very comfortable.,2021-08-14,Positive
REV00120,CUST03491,PROD01509,1,Very disappointing purchase.,2023-03-16,Negative
REV00121,CUST01410,PROD00228,2,Not worth the money.,2022-06-24,Negative
REV00122,CUST01627,PROD01918,3,"Product is okay, nothing special.",2021-06-30,Neutral
REV00123,CUST02360,PROD01073,4,Fabric is really soft and premium.,2024-10-04,Positive
REV00124,CUST04350,PROD00143,5,Fabric is really soft and premium.,2021-03-24,Positive
REV00125,CUST02282,PROD01666,4,"Amazing quality, loved it!",2025-01-16,Positive
REV00126,CUST02553,PROD01484,3,Fit is decent but not perfect.,2022-06-26,Neutral
REV00127,CUST01512,PROD01025,3,"Delivery was fine, product is okay.",2025-04-10,Neutral
REV00128,CUST03148,PROD01557,4,Stylish and worth the price.,2025-10-26,Positive
REV00129,CUST02747,PROD00159,5,Fabric is really soft and premium.,2021-08-27,Positive
REV00130,CUST01109,PROD01224,3,"Product is okay, nothing special.",2021-03-31,Neutral
REV00131,CUST00622,PROD00794,4,"Amazing quality, loved it!",2021-11-28,Positive
REV00132,CUST00023,PROD01914,2,Very disappointing purchase.,2025-08-18,Negative
REV00133,CUST01595,PROD00832,4,Stylish and worth the price.,2025-06-20,Positive
REV00134,CUST04994,PROD00071,3,"Not bad, not great.",2022-08-23,Neutral
REV00135,CUST03192,PROD00290,4,Highly recommend this product.,2021-03-19,Positive
REV00136,CUST00009,PROD01025,3,"Average quality, expected better.",2025-02-18,Neutral
REV00137,CUST04043,PROD01681,3,"Not bad, not great.",2024-01-06,Neutral
REV00138,CUST02580,PROD01425,4,Perfect fit and very comfortable.,2021-05-07,Positive
REV00139,CUST02992,PROD00803,4,Perfect fit and very comfortable.,2023-12-21,Positive
REV00140,CUST00559,PROD01145,4,Perfect fit and very comfortable.,2025-08-06,Positive
REV00141,CUST03511,PROD00832,4,Highly recommend this product.,2021-11-14,Positive
REV00142,CUST03473,PROD01542,3,Fit is decent but not perfect.,2022-12-04,Neutral
REV00143,CUST01207,PROD01652,4,Perfect fit and very comfortable.,2025-09-04,Positive
REV00144,CUST04968,PROD01849,5,Fabric is really soft and premium.,2025-11-20,Positive
REV00145,CUST04067,PROD00981,4,Highly recommend this product.,2022-03-17,Positive
REV00146,CUST04470,PROD01577,3,"Average quality, expected better.",2022-03-17,Neutral
REV00147,CUST02081,PROD01850,4,Fabric is really soft and premium.,2025-12-10,Positive
REV00148,CUST04666,PROD01388,4,"Amazing quality, loved it!",2022-06-08,Positive
REV00149,CUST04797,PROD01512,5,Fabric is really soft and premium.,2025-06-08,Positive
REV00150,CUST04716,PROD01675,4,Perfect fit and very comfortable.,2023-09-17,Positive
REV00151,CUST04811,PROD00084,5,"Amazing quality, loved it!",2022-06-08,Positive
REV00152,CUST02783,PROD00468,5,Fabric is really soft and premium.,2021-03-14,Positive
REV00153,CUST04019,PROD00164,4,Stylish and worth the price.,2022-09-12,Positive
REV00154,CUST02032,PROD00526,3,"Product is okay, nothing special.",2021-08-25,Neutral
REV00155,CUST00927,PROD00938,4,Perfect fit and very comfortable.,2023-11-24,Positive
REV00156,CUST03929,PROD01486,2,Very poor quality.,2021-01-06,Negative
REV00157,CUST01408,PROD01805,4,Stylish and worth the price.,2021-02-24,Positive
REV00158,CUST02943,PROD01218,3,Fit is decent but not perfect.,2023-02-15,Neutral
REV00159,CUST01979,PROD01316,5,Fabric is really soft and premium.,2021-07-20,Positive
REV00160,CUST03362,PROD01599,4,Stylish and worth the price.,2023-01-05,Positive
REV00161,CUST02829,PROD01319,5,Perfect fit and very comfortable.,2023-03-19,Positive
REV00162,CUST00285,PROD01873,5,Fabric is really soft and premium.,2022-09-25,Positive
REV00163,CUST02732,PROD00456,4,"Amazing quality, loved it!",2025-08-15,Positive
REV00164,CUST04526,PROD00645,4,Perfect fit and very comfortable.,2022-02-25,Positive
REV00165,CUST00967,PROD00893,4,Fabric is really soft and premium.,2024-11-22,Positive
REV00166,CUST03187,PROD00267,3,"Average quality, expected better.",2024-08-16,Neutral
REV00167,CUST00710,PROD00622,3,Fit is decent but not perfect.,2025-07-09,Neutral
REV00168,CUST03430,PROD00601,1,Did not like the material.,2024-09-14,Negative
REV00169,CUST00809,PROD00836,4,Perfect fit and very comfortable.,2022-03-16,Positive
REV00170,CUST02330,PROD01559,3,"Not bad, not great.",2021-03-26,Neutral
REV00171,CUST02937,PROD01433,5,Perfect fit and very comfortable.,2023-10-01,Positive
REV00172,CUST03213,PROD00602,3,"Not bad, not great.",2024-05-14,Neutral
REV00173,CUST04839,PROD01976,1,Not worth the money.,2025-09-08,Negative
REV00174,CUST04898,PROD00746,5,Stylish and worth the price.,2022-01-02,Positive
REV00175,CUST03879,PROD00232,5,Perfect fit and very comfortable.,2021-12-16,Positive
REV00176,CUST04249,PROD01326,5,"Amazing quality, loved it!",2024-01-18,Positive
REV00177,CUST01635,PROD01409,5,Fabric is really soft and premium.,2022-12-12,Positive
REV00178,CUST00230,PROD00440,2,Not worth the money.,2022-01-05,Negative
REV00179,CUST03922,PROD00937,3,"Average quality, expected better.",2024-05-06,Neutral
REV00180,CUST04675,PROD01131,4,Fabric is really soft and premium.,2024-05-29,Positive
REV00181,CUST02448,PROD00903,4,Perfect fit and very comfortable.,2025-03-27,Positive
REV00182,CUST00757,PROD00203,4,Perfect fit and very comfortable.,2024-09-11,Positive
REV00183,CUST03331,PROD01292,5,"Amazing quality, loved it!",2025-02-13,Positive
REV00184,CUST04151,PROD01277,2,Very poor quality.,2025-10-24,Negative
REV00185,CUST01966,PROD01527,5,"Amazing quality, loved it!",2024-06-27,Positive
REV00186,CUST01971,PROD00874,4,Perfect fit and very comfortable.,2021-10-28,Positive
REV00187,CUST04140,PROD00117,5,Stylish and worth the price.,2022-11-30,Positive
REV00188,CUST00496,PROD00039,2,Size was completely wrong.,2024-03-25,Negative
REV00189,CUST00927,PROD01091,4,"Amazing quality, loved it!",2025-03-24,Positive
REV00190,CUST03495,PROD00721,4,"Amazing quality, loved it!",2023-10-14,Positive
REV00191,CUST04470,PROD00053,1,Size was completely wrong.,2024-08-29,Negative
REV00192,CUST01062,PROD00234,4,"Amazing quality, loved it!",2022-07-23,Positive
REV00193,CUST03292,PROD00569,5,Perfect fit and very comfortable.,2022-01-03,Positive
REV00194,CUST02898,PROD00257,4,Perfect fit and very comfortable.,2021-06-14,Positive
REV00195,CUST01851,PROD01666,5,Perfect fit and very comfortable.,2023-12-17,Positive
REV00196,CUST01526,PROD00635,5,"Amazing quality, loved it!",2023-05-15,Positive
REV00197,CUST04084,PROD00199,4,Fabric is really soft and premium.,2025-08-06,Positive
REV00198,CUST00319,PROD01072,4,Perfect fit and very comfortable.,2022-10-11,Positive
REV00199,CUST00743,PROD01278,5,Fabric is really soft and premium.,2025-06-23,Positive
REV00200,CUST02217,PROD00246,3,Fit is decent but not perfect.,2023-04-15,Neutral
REV00201,CUST01267,PROD01539,4,Perfect fit and very comfortable.,2024-05-22,Positive
REV00202,CUST03330,PROD00495,1,Did not like the material.,2023-03-25,Negative
REV00203,CUST02397,PROD00927,5,Highly recommend this product.,2023-02-18,Positive
REV00204,CUST04579,PROD00285,5,"Amazing quality, loved it!",2022-03-18,Positive
REV00205,CUST02185,PROD01802,5,Highly recommend this product.,2023-04-20,Positive
REV00206,CUST03993,PROD01460,5,Stylish and worth the price.,2021-05-26,Positive
REV00207,CUST02257,PROD00165,3,"Average quality, expected better.",2024-05-21,Neutral
REV00208,CUST02243,PROD00368,2,Size was completely wrong.,2023-01-03,Negative
REV00209,CUST03532,PROD01449,2,Very poor quality.,2022-02-16,Negative
REV00210,CUST03627,PROD00232,5,Stylish and worth the price.,2023-07-14,Positive
REV00211,CUST00732,PROD00463,2,Very disappointing purchase.,2022-06-21,Negative
REV00212,CUST00455,PROD01947,5,"Amazing quality, loved it!",2024-10-04,Positive
REV00213,CUST02611,PROD01029,1,Size was completely wrong.,2024-12-11,Negative
REV00214,CUST00626,PROD01144,5,Highly recommend this product.,2024-01-01,Positive
REV00215,CUST03818,PROD01785,4,Fabric is really soft and premium.,2023-09-18,Positive
REV00216,CUST01337,PROD00390,5,Stylish and worth the price.,2021-04-20,Positive
REV00217,CUST02845,PROD01915,4,"Amazing quality, loved it!",2022-07-23,Positive
REV00218,CUST00415,PROD01619,4,Perfect fit and very comfortable.,2025-08-11,Positive
REV00219,CUST01311,PROD01064,4,Highly recommend this product.,2025-02-19,Positive
REV00220,CUST01048,PROD01329,5,Highly recommend this product.,2024-06-03,Positive
REV00221,CUST02762,PROD01072,4,Fabric is really soft and premium.,2021-10-29,Positive
REV00222,CUST04022,PROD00412,5,Perfect fit and very comfortable.,2022-05-15,Positive
REV00223,CUST03410,PROD00838,4,Perfect fit and very comfortable.,2025-05-31,Positive
REV00224,CUST04741,PROD01703,5,Perfect fit and very comfortable.,2021-09-18,Positive
REV00225,CUST04924,PROD00967,3,"Delivery was fine, product is okay.",2024-12-06,Neutral
REV00226,CUST03151,PROD00792,5,Fabric is really soft and premium.,2024-02-27,Positive
REV00227,CUST02293,PROD01285,5,Highly recommend this product.,2024-07-01,Positive
REV00228,CUST00198,PROD00496,5,Perfect fit and very comfortable.,2025-04-16,Positive
REV00229,CUST04790,PROD00299,3,"Delivery was fine, product is okay.",2023-03-26,Neutral
REV00230,CUST02786,PROD01153,4,Stylish and worth the price.,2024-05-18,Positive
REV00231,CUST04433,PROD00544,5,Stylish and worth the price.,2022-09-02,Positive
REV00232,CUST01633,PROD01246,3,"Delivery was fine, product is okay.",2021-11-23,Neutral
REV00233,CUST03237,PROD01550,4,Highly recommend this product.,2024-12-22,Positive
REV00234,CUST00243,PROD00787,3,"Product is okay, nothing special.",2022-03-16,Neutral
REV00235,CUST04517,PROD01594,1,Size was completely wrong.,2025-02-25,Negative
REV00236,CUST02644,PROD01781,4,"Amazing quality, loved it!",2021-03-29,Positive
REV00237,CUST02828,PROD01312,5,Fabric is really soft and premium.,2024-10-21,Positive
REV00238,CUST01441,PROD00699,5,Highly recommend this product.,2021-10-06,Positive
REV00239,CUST01189,PROD01433,4,Highly recommend this product.,2022-05-12,Positive
REV00240,CUST04359,PROD01621,5,Fabric is really soft and premium.,2024-09-14,Positive
REV00241,CUST03001,PROD00576,3,"Delivery was fine, product is okay.",2021-02-17,Neutral
REV00242,CUST03263,PROD00959,3,"Delivery was fine, product is okay.",2022-12-06,Neutral
REV00243,CUST01292,PROD00670,4,Fabric is really soft and premium.,2024-09-22,Positive
REV00244,CUST00758,PROD01530,4,Fabric is really soft and premium.,2023-11-10,Positive
REV00245,CUST03164,PROD00300,3,"Not bad, not great.",2024-06-21,Neutral
REV00246,CUST01573,PROD01778,5,Highly recommend this product.,2024-12-28,Positive
REV00247,CUST04562,PROD01032,1,Size was completely wrong.,2025-10-31,Negative
REV00248,CUST00039,PROD00983,3,Fit is decent but not perfect.,2021-08-12,Neutral
REV00249,CUST03295,PROD00861,3,"Delivery was fine, product is okay.",2025-12-09,Neutral
REV00250,CUST04961,PROD01644,5,"Amazing quality, loved it!",2024-03-10,Positive
REV00251,CUST04054,PROD01543,3,"Product is okay, nothing special.",2023-06-19,Neutral
REV00252,CUST00357,PROD00642,3,"Average quality, expected better.",2022-04-23,Neutral
REV00253,CUST04030,PROD00208,5,Perfect fit and very comfortable.,2021-05-12,Positive
REV00254,CUST04393,PROD00251,4,"Amazing quality, loved it!",2024-07-23,Positive
REV00255,CUST01863,PROD00870,4,"Amazing quality, loved it!",2024-08-09,Positive
REV00256,CUST04522,PROD01959,2,Size was completely wrong.,2023-12-10,Negative
REV00257,CUST01470,PROD01012,5,Highly recommend this product.,2024-01-21,Positive
REV00258,CUST02969,PROD00610,3,"Not bad, not great.",2021-12-21,Neutral
REV00259,CUST00288,PROD01087,3,"Not bad, not great.",2021-04-21,Neutral
REV00260,CUST04191,PROD00626,2,Not worth the money.,2024-09-21,Negative
REV00261,CUST03211,PROD00554,5,Highly recommend this product.,2023-04-04,Positive
REV00262,CUST00615,PROD00016,2,Size was completely wrong.,2021-09-05,Negative
REV00263,CUST02563,PROD00147,3,"Not bad, not great.",2024-10-26,Neutral
REV00264,CUST04681,PROD01090,5,"Amazing quality, loved it!",2022-10-16,Positive
REV00265,CUST00937,PROD01383,3,"Product is okay, nothing special.",2023-12-20,Neutral
REV00266,CUST03147,PROD01104,5,"Amazing quality, loved it!",2021-10-30,Positive
REV00267,CUST03623,PROD00595,4,"Amazing quality, loved it!",2021-07-01,Positive
REV00268,CUST04386,PROD00586,5,Perfect fit and very comfortable.,2022-02-23,Positive
REV00269,CUST01493,PROD01837,4,Fabric is really soft and premium.,2024-01-18,Positive
REV00270,CUST02997,PROD00514,2,Did not like the material.,2024-11-12,Negative
REV00271,CUST03662,PROD00309,3,"Product is okay, nothing special.",2025-10-08,Neutral
REV00272,CUST04065,PROD00028,3,"Product is okay, nothing special.",2025-05-26,Neutral
REV00273,CUST01051,PROD01280,4,"Amazing quality, loved it!",2025-02-03,Positive
REV00274,CUST03311,PROD01528,5,Stylish and worth the price.,2021-02-28,Positive
REV00275,CUST02560,PROD00110,4,Stylish and worth the price.,2024-03-28,Positive
REV00276,CUST01071,PROD01629,3,"Delivery was fine, product is okay.",2023-01-05,Neutral
REV00277,CUST01276,PROD01886,5,"Amazing quality, loved it!",2025-02-18,Positive
REV00278,CUST02362,PROD01682,4,"Amazing quality, loved it!",2023-05-14,Positive
REV00279,CUST01649,PROD01993,5,Fabric is really soft and premium.,2025-05-29,Positive
REV00280,CUST04338,PROD01011,5,Perfect fit and very comfortable.,2021-07-12,Positive
REV00281,CUST01308,PROD01387,2,Size was completely wrong.,2025-05-17,Negative
REV00282,CUST04867,PROD00901,4,Stylish and worth the price.,2024-04-22,Positive
REV00283,CUST04551,PROD00033,3,"Delivery was fine, product is okay.",2025-01-07,Neutral
REV00284,CUST00949,PROD01503,2,Size was completely wrong.,2022-07-16,Negative
REV00285,CUST00348,PROD01566,5,Perfect fit and very comfortable.,2022-11-16,Positive
REV00286,CUST02580,PROD01702,4,Stylish and worth the price.,2024-06-11,Positive
REV00287,CUST01899,PROD01535,5,Highly recommend this product.,2021-05-11,Positive
REV00288,CUST04605,PROD00967,4,"Amazing quality, loved it!",2023-09-10,Positive
REV00289,CUST04501,PROD00633,2,Not worth the money.,2025-02-04,Negative
REV00290,CUST02068,PROD00773,4,Highly recommend this product.,2023-10-26,Positive
REV00291,CUST00205,PROD01930,4,"Amazing quality, loved it!",2021-03-09,Positive
REV00292,CUST03613,PROD00049,5,Stylish and worth the price.,2023-07-31,Positive
REV00293,CUST01633,PROD01310,5,Fabric is really soft and premium.,2024-06-12,Positive
REV00294,CUST00258,PROD00726,5,"Amazing quality, loved it!",2022-07-30,Positive
REV00295,CUST02813,PROD01492,4,Fabric is really soft and premium.,2025-04-02,Positive
REV00296,CUST00769,PROD01844,4,Fabric is really soft and premium.,2021-10-10,Positive
REV00297,CUST03723,PROD00504,5,Fabric is really soft and premium.,2024-08-30,Positive
REV00298,CUST01632,PROD00789,3,Fit is decent but not perfect.,2021-08-27,Neutral
REV00299,CUST04064,PROD01773,2,Size was completely wrong.,2022-09-18,Negative
REV00300,CUST02637,PROD00534,5,Perfect fit and very comfortable.,2021-01-04,Positive
REV00301,CUST04405,PROD00838,4,Stylish and worth the price.,2022-10-04,Positive
REV00302,CUST01849,PROD01169,5,"Amazing quality, loved it!",2024-03-19,Positive
REV00303,CUST04500,PROD00704,5,Fabric is really soft and premium.,2021-07-07,Positive
REV00304,CUST04889,PROD01489,5,Stylish and worth the price.,2023-12-18,Positive
REV00305,CUST00261,PROD01037,4,Highly recommend this product.,2022-03-13,Positive
REV00306,CUST02825,PROD00431,5,Fabric is really soft and premium.,2023-08-14,Positive
REV00307,CUST01287,PROD00931,4,"Amazing quality, loved it!",2025-03-18,Positive
REV00308,CUST03628,PROD00160,3,"Product is okay, nothing special.",2024-12-13,Neutral
REV00309,CUST00118,PROD00765,3,"Product is okay, nothing special.",2021-03-26,Neutral
REV00310,CUST03847,PROD00724,4,Perfect fit and very comfortable.,2023-09-15,Positive
REV00311,CUST01389,PROD00520,2,Did not like the material.,2021-06-29,Negative
REV00312,CUST04828,PROD01028,2,Very disappointing purchase.,2021-02-05,Negative
REV00313,CUST03950,PROD01548,5,"Amazing quality, loved it!",2025-07-31,Positive
REV00314,CUST03768,PROD00531,2,Very disappointing purchase.,2022-12-28,Negative
REV00315,CUST02205,PROD00496,4,"Amazing quality, loved it!",2023-04-08,Positive
REV00316,CUST03284,PROD01456,5,Highly recommend this product.,2023-04-09,Positive
REV00317,CUST02807,PROD00414,3,"Delivery was fine, product is okay.",2025-10-22,Neutral
REV00318,CUST04623,PROD01275,3,"Product is okay, nothing special.",2025-10-15,Neutral
REV00319,CUST01457,PROD01254,3,"Product is okay, nothing special.",2025-09-23,Neutral
REV00320,CUST01786,PROD01705,5,"Amazing quality, loved it!",2022-01-15,Positive
REV00321,CUST01507,PROD00400,4,"Amazing quality, loved it!",2023-11-15,Positive
REV00322,CUST01339,PROD00907,4,Perfect fit and very comfortable.,2021-11-17,Positive
REV00323,CUST02988,PROD00400,4,Perfect fit and very comfortable.,2021-01-07,Positive
REV00324,CUST01520,PROD01010,1,Very poor quality.,2022-01-13,Negative
REV00325,CUST03833,PROD01509,3,Fit is decent but not perfect.,2025-06-25,Neutral
REV00326,CUST03714,PROD01717,3,"Average quality, expected better.",2023-06-14,Neutral
REV00327,CUST03087,PROD00048,5,Highly recommend this product.,2024-11-25,Positive
REV00328,CUST01405,PROD01012,5,Fabric is really soft and premium.,2021-09-15,Positive
REV00329,CUST01360,PROD01434,4,Fabric is really soft and premium.,2024-11-10,Positive
