Review_ID,Patient_ID,Appointment_ID,Rating,Review_Text,Review_Date,Sentiment
REV00043,DP01278,APT004106,4,Excellent service and very friendly staff,2023-06-24,Positive
REV00044,DP00198,APT003523,5,Doctor explained everything clearly,2024-05-23,Positive
REV00045,DP00878,APT000865,1,Not satisfied with treatment,2024-05-06,Negative
REV00046,DP00960,APT003984,5,Highly recommend this clinic,2023-05-18,Positive
REV00047,DP01307,APT006763,5,Clean clinic and professional team,2025-11-09,Positive
REV00048,DP02894,APT001589,5,Great experience overall,2023-07-31,Positive
REV00049,DP03107,APT006953,3,Waiting time was a bit long,2024-09-25,Neutral
REV00050,DP02835,APT002674,4,Average experience,2023-06-20,Neutral
REV00051,DP00825,APT002253,4,Waiting time was a bit long,2024-07-12,Neutral
REV00052,DP02489,APT001190,4,Excellent service and very friendly staff,2024-05-20,Positive
REV00053,DP00572,APT002189,5,Highly recommend this clinic,2024-01-29,Positive
REV00054,DP00631,APT005557,4,Highly recommend this clinic,2023-03-28,Positive
REV00055,DP00025,APT006421,3,Nothing special but acceptable,2023-12-17,Neutral
REV00056,DP01746,APT002943,4,Clean clinic and professional team,2025-04-24,Positive
REV00057,DP00971,APT001522,5,Clean clinic and professional team,2024-07-29,Positive
REV00058,DP03126,APT003052,5,Clean clinic and professional team,2024-06-26,Positive
REV00059,DP02278,APT003267,3,Waiting time was a bit long,2023-12-09,Neutral
REV00060,DP03119,APT003205,4,Very satisfied with the treatment,2025-06-02,Positive
REV00061,DP02183,APT003277,4,Clean clinic and professional team,2025-07-06,Positive
REV00062,DP01963,APT000576,5,Highly recommend this clinic,2023-02-22,Positive
REV00063,DP01148,APT004627,5,Excellent service and very friendly staff,2025-07-24,Positive
REV00064,DP03039,APT000824,4,Excellent service and very friendly staff,2024-12-01,Positive
REV00065,DP01798,APT001764,4,Treatment was fine,2023-04-29,Neutral
REV00066,DP02079,APT005391,4,Quick and painless procedure,2024-11-26,Positive
REV00067,DP00410,APT005017,2,Staff was not very helpful,2024-02-17,Negative
REV00068,DP01116,APT006717,3,Service was okay,2023-04-10,Neutral
REV00069,DP01786,APT001034,1,Will not visit again,2024-07-10,Negative
REV00070,DP02872,APT001651,5,Very satisfied with the treatment,2023-01-05,Positive
REV00071,DP02442,APT002871,4,Quick and painless procedure,2025-05-03,Positive
REV00072,DP00704,APT002485,3,Average experience,2023-11-30,Neutral
REV00073,DP01488,APT006919,5,Quick and painless procedure,2024-05-03,Positive
REV00074,DP02043,APT004030,5,Clean clinic and professional team,2025-07-30,Positive
REV00075,DP02686,APT005202,4,Doctor explained everything clearly,2024-11-14,Positive
REV00076,DP01595,APT000795,4,Clean clinic and professional team,2024-11-16,Positive
REV00077,DP02871,APT002235,5,Clean clinic and professional team,2023-02-14,Positive
REV00078,DP00748,APT001576,5,Clean clinic and professional team,2023-04-14,Positive
REV00079,DP01734,APT001206,1,Very long waiting time,2023-06-17,Negative
REV00080,DP00084,APT001448,5,Quick and painless procedure,2025-08-15,Positive
REV00081,DP03176,APT001606,3,Waiting time was a bit long,2023-09-23,Neutral
REV00082,DP03050,APT006789,4,Quick and painless procedure,2023-07-05,Positive
REV00083,DP01150,APT005796,4,Quick and painless procedure,2023-05-14,Positive
REV00084,DP03043,APT004729,5,Great experience overall,2024-06-19,Positive
REV00085,DP02851,APT005614,3,Average experience,2025-05-12,Neutral
REV00086,DP02570,APT001158,2,Staff was not very helpful,2024-07-15,Negative
REV00087,DP01122,APT005024,1,Very long waiting time,2023-05-31,Negative
REV00088,DP00276,APT003435,4,Very satisfied with the treatment,2025-01-01,Positive
REV00089,DP02732,APT005150,4,Waiting time was a bit long,2025-07-12,Neutral
REV00090,DP00563,APT001899,5,Clean clinic and professional team,2024-07-11,Positive
REV00091,DP03143,APT005715,4,Waiting time was a bit long,2023-12-08,Neutral
REV00092,DP00596,APT005704,4,Excellent service and very friendly staff,2025-04-11,Positive
REV00093,DP01663,APT000750,4,Treatment was fine,2025-09-15,Neutral
REV00094,DP01845,APT001148,2,Will not visit again,2023-08-18,Negative
REV00095,DP03246,APT003262,4,Service was okay,2023-06-19,Neutral
REV00096,DP00524,APT000848,4,Great experience overall,2023-01-27,Positive
REV00097,DP01242,APT003795,4,Doctor explained everything clearly,2023-05-16,Positive
REV00098,DP01174,APT004627,5,Highly recommend this clinic,2023-11-20,Positive
REV00099,DP02942,APT005193,2,Not satisfied with treatment,2025-09-25,Negative
REV00100,DP01295,APT005051,5,Doctor explained everything clearly,2023-10-18,Positive
REV00101,DP00079,APT005463,5,Very satisfied with the treatment,2025-09-14,Positive
REV00102,DP02671,APT002083,4,Quick and painless procedure,2025-12-24,Positive
REV00103,DP02741,APT006809,4,Quick and painless procedure,2025-05-22,Positive
REV00104,DP01109,APT000241,4,Doctor explained everything clearly,2025-02-07,Positive
REV00105,DP02991,APT001126,4,Excellent service and very friendly staff,2024-02-06,Positive
REV00106,DP02113,APT004179,4,Highly recommend this clinic,2025-01-02,Positive
REV00107,DP03397,APT002290,4,Highly recommend this clinic,2025-03-07,Positive
REV00108,DP00709,APT000556,2,Not satisfied with treatment,2024-03-22,Negative
REV00109,DP03111,APT002504,4,Excellent service and very friendly staff,2023-07-07,Positive
REV00110,DP03426,APT006868,4,Service was okay,2025-08-04,Neutral
REV00111,DP01407,APT003927,5,Highly recommend this clinic,2023-10-13,Positive
REV00112,DP01800,APT005710,1,Too expensive for the service,2024-04-12,Negative
REV00113,DP01088,APT005371,1,Not satisfied with treatment,2024-10-30,Negative
REV00114,DP00232,APT003116,2,Uncomfortable experience,2023-09-11,Negative
REV00115,DP02926,APT000532,3,Nothing special but acceptable,2023-08-20,Neutral
REV00116,DP01991,APT000725,3,Waiting time was a bit long,2023-06-15,Neutral
REV00117,DP01264,APT003456,4,Highly recommend this clinic,2023-12-30,Positive
REV00118,DP02993,APT000393,5,Excellent service and very friendly staff,2025-01-01,Positive
REV00119,DP01206,APT006125,4,Doctor explained everything clearly,2025-07-27,Positive
REV00120,DP01341,APT005393,5,Clean clinic and professional team,2024-01-31,Positive
REV00121,DP02176,APT000364,5,Very satisfied with the treatment,2024-04-10,Positive
REV00122,DP00706,APT001593,1,Too expensive for the service,2023-05-31,Negative
REV00123,DP03145,APT004857,5,Doctor explained everything clearly,2025-10-23,Positive
REV00124,DP01746,APT006117,4,Excellent service and very friendly staff,2025-06-24,Positive
REV00125,DP02425,APT006626,5,Highly recommend this clinic,2023-05-27,Positive
REV00126,DP00106,APT006833,4,Great experience overall,2025-10-11,Positive
REV00127,DP01405,APT006170,4,Clean clinic and professional team,2024-01-03,Positive
REV00128,DP01511,APT001664,3,Treatment was fine,2024-01-12,Neutral
REV00129,DP01981,APT004567,5,Quick and painless procedure,2024-12-24,Positive
REV00130,DP00961,APT004293,2,Staff was not very helpful,2023-01-27,Negative
REV00131,DP00832,APT001454,4,Very satisfied with the treatment,2025-07-10,Positive
REV00132,DP00711,APT001334,4,Highly recommend this clinic,2024-02-07,Positive
REV00133,DP01699,APT000564,4,Treatment was fine,2023-03-02,Neutral
REV00134,DP02541,APT001438,4,Great experience overall,2025-02-22,Positive
REV00135,DP03429,APT005137,2,Staff was not very helpful,2023-05-25,Negative
REV00136,DP01184,APT000950,4,Average experience,2024-01-01,Neutral
REV00137,DP02150,APT004814,4,Great experience overall,2025-02-18,Positive
REV00138,DP01619,APT004879,1,Very long waiting time,2025-01-18,Negative
REV00139,DP01327,APT002398,4,Average experience,2023-01-06,Neutral
REV00140,DP00744,APT004022,4,Highly recommend this clinic,2024-04-03,Positive
REV00141,DP02666,APT002513,4,Nothing special but acceptable,2024-04-16,Neutral
REV00142,DP02929,APT006286,5,Clean clinic and professional team,2023-01-19,Positive
REV00143,DP02059,APT003176,4,Doctor explained everything clearly,2025-07-14,Positive
REV00144,DP00639,APT003587,5,Highly recommend this clinic,2023-03-09,Positive
REV00145,DP00086,APT006885,5,Clean clinic and professional team,2024-09-03,Positive
REV00146,DP00615,APT004912,5,Doctor explained everything clearly,2025-08-23,Positive
REV00147,DP03317,APT005755,5,Clean clinic and professional team,2024-02-17,Positive
REV00148,DP02674,APT006052,3,Service was okay,2024-02-11,Neutral
REV00149,DP02113,APT000640,5,Quick and painless procedure,2025-11-13,Positive
REV00150,DP00738,APT006903,4,Very satisfied with the treatment,2023-11-08,Positive
REV00151,DP01127,APT002980,1,Staff was not very helpful,2023-06-08,Negative
REV00152,DP01265,APT003514,4,Clean clinic and professional team,2023-06-22,Positive
REV00153,DP00152,APT000535,4,Excellent service and very friendly staff,2025-09-03,Positive
REV00154,DP03443,APT004546,4,Highly recommend this clinic,2025-07-08,Positive
REV00155,DP03252,APT000526,2,Uncomfortable experience,2024-03-18,Negative
REV00156,DP02594,APT003972,4,Waiting time was a bit long,2023-10-01,Neutral
REV00157,DP00319,APT003211,5,Quick and painless procedure,2024-10-14,Positive
REV00158,DP02520,APT000593,5,Very satisfied with the treatment,2023-08-01,Positive
REV00159,DP03210,APT002265,3,Waiting time was a bit long,2023-06-28,Neutral
REV00160,DP00188,APT004778,3,Waiting time was a bit long,2024-01-13,Neutral
REV00161,DP03419,APT000827,5,Excellent service and very friendly staff,2025-11-29,Positive
REV00162,DP03276,APT001436,2,Staff was not very helpful,2023-09-05,Negative
REV00163,DP00284,APT002110,5,Doctor explained everything clearly,2024-08-08,Positive
REV00164,DP02479,APT003074,5,Highly recommend this clinic,2023-10-11,Positive
REV00165,DP02803,APT006714,4,Average experience,2023-10-05,Neutral
REV00166,DP00897,APT006625,4,Clean clinic and professional team,2023-07-16,Positive
REV00167,DP01062,APT001672,1,Uncomfortable experience,2023-08-10,Negative
REV00168,DP02110,APT003017,4,Very satisfied with the treatment,2023-01-17,Positive
REV00169,DP02967,APT004079,5,Highly recommend this clinic,2023-08-23,Positive
REV00170,DP01985,APT002097,5,Great experience overall,2024-12-06,Positive
REV00171,DP02131,APT005199,4,Excellent service and very friendly staff,2023-07-11,Positive
REV00172,DP02392,APT000983,4,Great experience overall,2025-03-06,Positive
REV00173,DP01760,APT006569,2,Not satisfied with treatment,2025-07-14,Negative
REV00174,DP00074,APT006691,2,Not satisfied with treatment,2024-12-06,Negative
REV00175,DP02938,APT006172,5,Clean clinic and professional team,2025-07-28,Positive
REV00176,DP00944,APT000518,5,Very satisfied with the treatment,2024-12-04,Positive
REV00177,DP02716,APT001768,3,Service was okay,2025-06-22,Neutral
REV00178,DP00208,APT004231,3,Average experience,2023-06-17,Neutral
REV00179,DP01156,APT002507,5,Highly recommend this clinic,2023-04-03,Positive
REV00180,DP01325,APT005151,3,Nothing special but acceptable,2025-12-11,Neutral
REV00181,DP00259,APT006679,4,Great experience overall,2025-09-21,Positive
REV00182,DP02046,APT002451,1,Very long waiting time,2023-01-08,Negative
REV00183,DP02677,APT004089,3,Nothing special but acceptable,2024-04-22,Neutral
REV00184,DP01149,APT004933,5,Excellent service and very friendly staff,2023-07-05,Positive
REV00185,DP01261,APT000992,4,Average experience,2024-11-05,Neutral
REV00186,DP02571,APT004831,4,Highly recommend this clinic,2024-07-18,Positive
REV00187,DP01465,APT002018,4,Treatment was fine,2025-10-04,Neutral
REV00188,DP01847,APT000114,5,Great experience overall,2023-11-25,Positive
REV00189,DP01830,APT004755,5,Very satisfied with the treatment,2023-07-07,Positive
REV00190,DP00510,APT000605,4,Very satisfied with the treatment,2023-01-08,Positive
REV00191,DP00401,APT003776,4,Treatment was fine,2024-12-06,Neutral
REV00192,DP03361,APT004465,2,Staff was not very helpful,2024-11-04,Negative
REV00193,DP03156,APT000286,5,Doctor explained everything clearly,2025-09-11,Positive
REV00194,DP02876,APT005064,4,Excellent service and very friendly staff,2024-07-23,Positive
REV00195,DP00252,APT004063,3,Nothing special but acceptable,2023-12-02,Neutral
REV00196,DP01580,APT000760,5,Clean clinic and professional team,2025-01-07,Positive
REV00197,DP02763,APT003039,4,Nothing special but acceptable,2024-02-23,Neutral
REV00198,DP03043,APT004638,3,Nothing special but acceptable,2025-12-12,Neutral
REV00199,DP02891,APT006901,5,Great experience overall,2023-01-10,Positive
REV00200,DP01870,APT005460,5,Highly recommend this clinic,2023-09-20,Positive
REV00201,DP02211,APT005686,5,Doctor explained everything clearly,2023-07-16,Positive
REV00202,DP01316,APT006762,5,Quick and painless procedure,2024-02-09,Positive
REV00203,DP03045,APT005608,3,Waiting time was a bit long,2023-02-17,Neutral
REV00204,DP02322,APT005403,5,Clean clinic and professional team,2025-11-01,Positive
REV00205,DP01434,APT005936,3,Waiting time was a bit long,2025-01-28,Neutral
REV00206,DP01465,APT005648,5,Highly recommend this clinic,2023-09-19,Positive
REV00207,DP01118,APT001710,4,Great experience overall,2024-05-06,Positive
REV00208,DP01375,APT001685,5,Clean clinic and professional team,2024-12-27,Positive
REV00209,DP01269,APT004673,5,Highly recommend this clinic,2023-07-10,Positive
REV00210,DP00454,APT001103,4,Very satisfied with the treatment,2023-10-23,Positive
REV00211,DP00291,APT003626,5,Very satisfied with the treatment,2025-05-12,Positive
REV00212,DP00779,APT000680,5,Excellent service and very friendly staff,2023-10-10,Positive
REV00213,DP02036,APT003788,4,Highly recommend this clinic,2023-01-25,Positive
REV00214,DP01145,APT001488,4,Quick and painless procedure,2024-10-12,Positive
REV00215,DP02092,APT004725,5,Highly recommend this clinic,2023-01-13,Positive
REV00216,DP03000,APT004873,1,Not satisfied with treatment,2023-01-18,Negative
REV00217,DP00864,APT003095,2,Very long waiting time,2023-04-05,Negative
REV00218,DP03411,APT003434,4,Doctor explained everything clearly,2025-05-10,Positive
REV00219,DP03084,APT002624,4,Doctor explained everything clearly,2023-07-29,Positive
REV00220,DP02173,APT006758,5,Quick and painless procedure,2025-09-16,Positive
REV00221,DP00859,APT004378,4,Nothing special but acceptable,2025-07-24,Neutral
REV00222,DP03189,APT002548,5,Excellent service and very friendly staff,2025-08-14,Positive
REV00223,DP02538,APT005985,5,Excellent service and very friendly staff,2024-02-19,Positive
REV00224,DP02829,APT000901,4,Highly recommend this clinic,2024-12-02,Positive
REV00225,DP02197,APT006973,5,Excellent service and very friendly staff,2024-11-09,Positive
REV00226,DP02524,APT005258,5,Quick and painless procedure,2024-08-17,Positive
REV00227,DP02185,APT006189,4,Service was okay,2023-04-01,Neutral
REV00228,DP03229,APT002194,4,Service was okay,2024-09-22,Neutral
REV00229,DP03299,APT006252,4,Excellent service and very friendly staff,2024-09-02,Positive
REV00230,DP00826,APT001498,4,Great experience overall,2025-06-06,Positive
REV00231,DP00243,APT005203,4,Excellent service and very friendly staff,2025-02-13,Positive
REV00232,DP02151,APT006135,5,Highly recommend this clinic,2025-01-08,Positive
REV00233,DP02011,APT003033,4,Service was okay,2023-02-07,Neutral
REV00234,DP01097,APT003992,2,Uncomfortable experience,2024-03-01,Negative
REV00235,DP01313,APT006081,1,Staff was not very helpful,2024-09-05,Negative
REV00236,DP01335,APT002659,3,Waiting time was a bit long,2023-10-18,Neutral
REV00237,DP01012,APT006407,5,Quick and painless procedure,2023-07-10,Positive
REV00238,DP03020,APT002070,4,Great experience overall,2024-12-08,Positive
REV00239,DP03289,APT003543,4,Clean clinic and professional team,2025-02-20,Positive
REV00240,DP00828,APT005410,5,Clean clinic and professional team,2025-06-30,Positive
REV00241,DP01122,APT000315,5,Doctor explained everything clearly,2024-05-23,Positive
REV00242,DP01984,APT003358,4,Doctor explained everything clearly,2025-08-02,Positive
REV00243,DP01155,APT002434,4,Very satisfied with the treatment,2025-10-25,Positive
REV00244,DP02568,APT005452,3,Waiting time was a bit long,2024-06-09,Neutral
REV00245,DP02442,APT006705,4,Highly recommend this clinic,2025-12-31,Positive
REV00246,DP02591,APT005463,4,Quick and painless procedure,2024-05-11,Positive
REV00247,DP02128,APT005749,3,Waiting time was a bit long,2023-02-16,Neutral
REV00248,DP02438,APT004256,5,Doctor explained everything clearly,2025-05-31,Positive
REV00249,DP02746,APT002863,4,Quick and painless procedure,2023-06-24,Positive
REV00250,DP00235,APT005248,5,Highly recommend this clinic,2024-09-24,Positive
REV00251,DP00891,APT003386,5,Very satisfied with the treatment,2023-05-10,Positive
REV00252,DP02419,APT002107,1,Uncomfortable experience,2023-10-26,Negative
REV00253,DP00935,APT003157,1,Uncomfortable experience,2025-06-23,Negative
REV00254,DP01916,APT003591,4,Excellent service and very friendly staff,2024-05-16,Positive
REV00255,DP01368,APT004421,4,Quick and painless procedure,2025-07-12,Positive
REV00256,DP01601,APT006727,4,Clean clinic and professional team,2023-10-15,Positive
REV00257,DP02113,APT006295,5,Highly recommend this clinic,2025-05-04,Positive
REV00258,DP03464,APT003129,5,Great experience overall,2025-01-16,Positive
REV00259,DP01347,APT000622,4,Excellent service and very friendly staff,2025-01-01,Positive
REV00260,DP02379,APT002308,4,Great experience overall,2025-08-05,Positive
REV00261,DP00588,APT004736,5,Excellent service and very friendly staff,2025-07-17,Positive
REV00262,DP03253,APT000175,5,Clean clinic and professional team,2025-12-16,Positive
REV00263,DP01995,APT001687,4,Great experience overall,2025-06-29,Positive
REV00264,DP00292,APT006941,4,Doctor explained everything clearly,2025-02-20,Positive
REV00265,DP02716,APT006471,4,Clean clinic and professional team,2023-01-30,Positive
REV00266,DP03034,APT006232,1,Staff was not very helpful,2023-02-07,Negative
REV00267,DP01473,APT005790,5,Doctor explained everything clearly,2024-07-24,Positive
REV00268,DP00553,APT002803,2,Uncomfortable experience,2023-07-25,Negative
REV00269,DP02498,APT000542,5,Highly recommend this clinic,2023-02-07,Positive
REV00270,DP01869,APT001347,4,Great experience overall,2025-05-31,Positive
REV00271,DP03484,APT001094,2,Will not visit again,2025-01-13,Negative
REV00272,DP03067,APT002208,5,Excellent service and very friendly staff,2023-07-12,Positive
REV00273,DP01076,APT000348,1,Very long waiting time,2023-09-07,Negative
REV00274,DP01621,APT006792,5,Excellent service and very friendly staff,2024-07-04,Positive
REV00275,DP03474,APT006132,2,Too expensive for the service,2025-10-25,Negative
REV00276,DP03022,APT006817,5,Quick and painless procedure,2024-12-22,Positive
REV00277,DP00346,APT006059,4,Clean clinic and professional team,2023-05-13,Positive
REV00278,DP00691,APT005887,4,Clean clinic and professional team,2023-10-18,Positive
REV00279,DP02171,APT005283,4,Average experience,2025-04-23,Neutral
REV00280,DP00391,APT003267,5,Doctor explained everything clearly,2024-03-05,Positive
REV00281,DP03346,APT004799,4,Treatment was fine,2023-03-13,Neutral
REV00282,DP00369,APT004309,1,Too expensive for the service,2023-08-25,Negative
REV00283,DP02070,APT002367,3,Waiting time was a bit long,2023-12-26,Neutral
REV00284,DP03317,APT003670,5,Excellent service and very friendly staff,2024-11-30,Positive
REV00285,DP02582,APT001214,5,Quick and painless procedure,2025-05-05,Positive
REV00286,DP00029,APT003036,4,Very satisfied with the treatment,2024-03-01,Positive
REV00287,DP00893,APT005997,2,Uncomfortable experience,2024-09-07,Negative
REV00288,DP02573,APT006070,5,Highly recommend this clinic,2023-09-03,Positive
REV00289,DP02326,APT000873,4,Very satisfied with the treatment,2024-01-12,Positive
REV00290,DP01656,APT002681,5,Doctor explained everything clearly,2025-12-26,Positive
REV00291,DP00973,APT002962,4,Excellent service and very friendly staff,2024-01-19,Positive
REV00292,DP02873,APT002301,4,Quick and painless procedure,2025-05-21,Positive
REV00293,DP00629,APT002018,4,Highly recommend this clinic,2023-11-19,Positive
REV00294,DP03231,APT000826,4,Quick and painless procedure,2023-11-04,Positive
REV00295,DP01426,APT006360,4,Great experience overall,2023-06-24,Positive
REV00296,DP00735,APT003296,4,Service was okay,2024-12-06,Neutral
REV00297,DP01635,APT005601,3,Treatment was fine,2024-01-23,Neutral
REV00298,DP00408,APT001845,5,Excellent service and very friendly staff,2023-07-28,Positive
REV00299,DP02956,APT005319,3,Nothing special but acceptable,2025-09-18,Neutral
REV00300,DP01716,APT000533,3,Nothing special but acceptable,2025-01-05,Neutral
REV00301,DP01738,APT003689,4,Treatment was fine,2024-07-30,Neutral
REV00302,DP01204,APT006480,4,Average experience,2024-02-01,Neutral
REV00303,DP03315,APT000053,5,Clean clinic and professional team,2024-03-04,Positive
REV00304,DP00381,APT000005,5,Quick and painless procedure,2025-10-17,Positive
REV00305,DP00487,APT002803,4,Average experience,2025-11-23,Neutral
REV00306,DP01836,APT001468,5,Very satisfied with the treatment,2025-02-17,Positive
REV00307,DP02912,APT005628,5,Great experience overall,2023-11-10,Positive
REV00308,DP01658,APT006324,2,Will not visit again,2024-03-27,Negative
REV00309,DP02862,APT000691,4,Quick and painless procedure,2024-08-12,Positive
REV00310,DP01523,APT002864,2,Not satisfied with treatment,2024-06-30,Negative
REV00311,DP01726,APT000728,4,Average experience,2023-12-02,Neutral
REV00312,DP02393,APT002303,5,Clean clinic and professional team,2025-09-16,Positive
REV00313,DP00052,APT005976,4,Clean clinic and professional team,2023-08-21,Positive
REV00314,DP00272,APT000450,5,Very satisfied with the treatment,2025-08-14,Positive
REV00315,DP01858,APT000537,5,Great experience overall,2023-03-16,Positive
REV00316,DP02283,APT002220,3,Average experience,2025-04-10,Neutral
REV00317,DP01854,APT000449,4,Very satisfied with the treatment,2024-06-12,Positive
REV00318,DP03289,APT000300,4,Waiting time was a bit long,2024-11-08,Neutral
REV00319,DP03240,APT004820,4,Average experience,2024-09-19,Neutral
REV00320,DP01584,APT005825,5,Highly recommend this clinic,2024-11-17,Positive
REV00321,DP01382,APT002958,4,Highly recommend this clinic,2025-11-15,Positive
REV00322,DP01621,APT005351,3,Average experience,2024-11-20,Neutral
REV00323,DP02012,APT005572,2,Will not visit again,2025-05-11,Negative
REV00324,DP01772,APT005817,5,Clean clinic and professional team,2024-10-25,Positive
REV00325,DP03110,APT003066,4,Service was okay,2024-03-30,Neutral
REV00326,DP01177,APT003690,4,Clean clinic and professional team,2025-11-25,Positive
REV00327,DP00021,APT000963,1,Very long waiting time,2025-07-28,Negative
REV00328,DP01244,APT003043,3,Service was okay,2023-11-11,Neutral
REV00329,DP00789,APT001834,4,Service was okay,2023-06-21,Neutral
REV00330,DP01754,APT002611,2,Too expensive for the service,2023-07-03,Negative
REV00331,DP03283,APT002546,5,Doctor explained everything clearly,2024-08-05,Positive
REV00332,DP00602,APT006989,3,Treatment was fine,2024-08-21,Neutral
REV00333,DP02132,APT002894,5,Great experience overall,2025-07-27,Positive
REV00334,DP01550,APT005487,4,Great experience overall,2024-04-03,Positive
REV00335,DP00239,APT006351,4,Highly recommend this clinic,2024-07-03,Positive
REV00336,DP00174,APT004108,4,Very satisfied with the treatment,2025-11-17,Positive
REV00337,DP03351,APT001645,2,Not satisfied with treatment,2023-06-17,Negative
REV00338,DP03452,APT000419,5,Doctor explained everything clearly,2025-04-22,Positive
REV00339,DP02086,APT006518,2,Too expensive for the service,2025-09-07,Negative
REV00340,DP00909,APT003778,3,Nothing special but acceptable,2023-12-15,Neutral
REV00341,DP03147,APT002744,5,Excellent service and very friendly staff,2023-10-27,Positive
REV00342,DP02853,APT000951,1,Uncomfortable experience,2024-04-28,Negative
REV00343,DP01674,APT006315,4,Nothing special but acceptable,2023-12-07,Neutral
REV00344,DP03097,APT005701,4,Doctor explained everything clearly,2023-11-08,Positive
REV00345,DP00633,APT001960,2,Uncomfortable experience,2023-07-16,Negative
REV00346,DP02719,APT005338,5,Highly recommend this clinic,2023-07-02,Positive
REV00347,DP03333,APT001867,3,Nothing special but acceptable,2023-03-08,Neutral
REV00348,DP02409,APT002900,2,Staff was not very helpful,2025-04-10,Negative
REV00349,DP01880,APT005779,4,Quick and painless procedure,2024-02-04,Positive
REV00350,DP01244,APT003616,5,Great experience overall,2023-11-06,Positive
REV00351,DP02927,APT000188,4,Quick and painless procedure,2024-01-12,Positive
REV00352,DP01354,APT002835,1,Too expensive for the service,2025-03-31,Negative
REV00353,DP00722,APT003575,5,Highly recommend this clinic,2025-07-02,Positive
REV00354,DP01901,APT004666,5,Clean clinic and professional team,2023-11-01,Positive
REV00355,DP00243,APT004352,1,Staff was not very helpful,2025-08-18,Negative
REV00356,DP01525,APT003483,3,Nothing special but acceptable,2024-01-14,Neutral
REV00357,DP01032,APT002664,5,Great experience overall,2025-06-28,Positive
REV00358,DP00186,APT006068,4,Quick and painless procedure,2024-10-22,Positive
REV00359,DP01569,APT003378,4,Clean clinic and professional team,2023-12-22,Positive
REV00360,DP01069,APT002315,3,Average experience,2023-11-24,Neutral
REV00361,DP00353,APT001026,3,Service was okay,2023-11-13,Neutral
REV00362,DP01229,APT003564,4,Very satisfied with the treatment,2024-09-30,Positive
REV00363,DP00571,APT006608,5,Highly recommend this clinic,2025-12-04,Positive
