review_id,auction_id,reviewer_id,reviewee_id,rating,review_text,review_date
REV00078,AUC00137,USER02695,USER00360,1,"Item not as described, disappointed.",2025-12-16 01:10:00
REV00079,AUC00139,USER00711,USER02832,5,Highly recommended seller.,2023-02-22 11:59:00
REV00080,AUC00143,USER00352,USER02128,4,Highly recommended seller.,2022-03-29 20:59:00
REV00081,AUC00145,USER01261,USER00161,5,"Item exactly as described, very happy.",2022-08-24 15:13:00
REV00082,AUC00146,USER02681,USER00089,5,"Great experience, smooth transaction!",2025-01-03 14:35:00
REV00083,AUC00147,USER01046,USER02564,4,"Great experience, smooth transaction!",2022-06-09 10:47:00
REV00084,AUC00148,USER02672,USER01567,5,"Great experience, smooth transaction!",2022-06-02 13:47:00
REV00085,AUC00149,USER02267,USER02240,4,Fast delivery and excellent communication.,2024-03-25 04:18:00
REV00086,AUC00150,USER00970,USER02399,4,Highly recommended seller.,2025-05-08 06:04:00
REV00087,AUC00153,USER01207,USER00801,2,Delivery was very late.,2025-08-06 12:46:00
REV00088,AUC00154,USER00895,USER00172,4,Highly recommended seller.,2024-04-16 05:11:00
REV00089,AUC00157,USER00095,USER00995,4,Highly recommended seller.,2024-09-01 21:50:00
REV00090,AUC00158,USER01976,USER01510,3,Product was fine but packaging could improve.,2024-08-04 18:56:00
REV00091,AUC00161,USER00778,USER01322,5,Highly recommended seller.,2024-03-12 01:43:00
REV00092,AUC00162,USER01800,USER01547,3,"Item was okay, delivery was a bit late.",2023-01-11 08:29:00
REV00093,AUC00163,USER00282,USER00944,4,Fast delivery and excellent communication.,2023-06-09 04:45:00
REV00094,AUC00164,USER01496,USER02616,4,Highly recommended seller.,2023-10-09 21:57:00
REV00095,AUC00166,USER02984,USER00084,1,"Item not as described, disappointed.",2022-08-08 10:33:00
REV00096,AUC00167,USER02799,USER00692,4,Highly recommended seller.,2022-09-28 23:05:00
REV00097,AUC00169,USER02654,USER02612,3,Product was fine but packaging could improve.,2023-05-25 03:26:00
REV00098,AUC00171,USER01371,USER00110,4,"Item exactly as described, very happy.",2023-02-01 08:52:00
REV00099,AUC00173,USER01899,USER02177,4,"Great experience, smooth transaction!",2025-02-22 05:35:00
REV00100,AUC00174,USER02392,USER01256,3,"Average experience, nothing special.",2023-11-29 17:31:00
REV00101,AUC00176,USER01824,USER02005,5,"Great experience, smooth transaction!",2024-02-02 02:41:00
REV00102,AUC00177,USER01546,USER01768,5,Very professional and reliable.,2022-09-17 21:27:00
REV00103,AUC00181,USER00322,USER00760,5,Fast delivery and excellent communication.,2025-04-06 20:30:00
REV00104,AUC00183,USER01300,USER02987,5,Very professional and reliable.,2024-07-26 16:36:00
REV00105,AUC00186,USER00279,USER00009,5,Fast delivery and excellent communication.,2024-10-31 12:30:00
REV00106,AUC00187,USER02373,USER02375,1,"Item not as described, disappointed.",2023-09-25 08:36:00
REV00107,AUC00190,USER01932,USER01806,4,Highly recommended seller.,2024-10-16 20:05:00
REV00108,AUC00191,USER02602,USER01899,3,Product was fine but packaging could improve.,2023-10-23 16:05:00
REV00109,AUC00192,USER02321,USER02307,5,"Great experience, smooth transaction!",2024-09-08 00:39:00
REV00110,AUC00193,USER00172,USER02453,5,"Great experience, smooth transaction!",2024-01-29 12:53:00
REV00111,AUC00194,USER01758,USER02338,5,"Item exactly as described, very happy.",2022-11-19 08:03:00
REV00112,AUC00195,USER00109,USER02147,3,"Item was okay, delivery was a bit late.",2024-06-13 08:03:00
REV00113,AUC00196,USER00035,USER00167,3,"Item was okay, delivery was a bit late.",2024-03-08 06:32:00
REV00114,AUC00197,USER01127,USER00540,5,"Item exactly as described, very happy.",2025-12-20 03:09:00
REV00115,AUC00198,USER00084,USER02996,5,"Item exactly as described, very happy.",2022-08-11 14:05:00
REV00116,AUC00200,USER01110,USER02957,5,Fast delivery and excellent communication.,2024-09-30 09:37:00
REV00117,AUC00201,USER01930,USER01878,5,"Item exactly as described, very happy.",2024-04-26 00:25:00
REV00118,AUC00202,USER01590,USER01350,5,Very professional and reliable.,2024-05-31 07:47:00
REV00119,AUC00206,USER02334,USER00740,5,Very professional and reliable.,2022-12-08 14:24:00
REV00120,AUC00208,USER00335,USER01444,3,"Average experience, nothing special.",2022-08-10 15:36:00
REV00121,AUC00210,USER02843,USER02894,5,Highly recommended seller.,2023-09-09 17:16:00
REV00122,AUC00213,USER01065,USER00749,4,Highly recommended seller.,2025-04-27 18:57:00
REV00123,AUC00217,USER01243,USER00563,5,Highly recommended seller.,2023-07-11 16:29:00
REV00124,AUC00222,USER00949,USER02113,2,Delivery was very late.,2024-05-23 22:16:00
REV00125,AUC00224,USER00592,USER00981,3,"Average experience, nothing special.",2022-01-15 15:42:00
REV00126,AUC00225,USER00545,USER00191,4,"Great experience, smooth transaction!",2023-03-05 19:25:00
REV00127,AUC00229,USER00330,USER02815,2,Delivery was very late.,2024-01-03 23:59:00
REV00128,AUC00230,USER02123,USER01930,4,"Item exactly as described, very happy.",2024-07-26 11:43:00
REV00129,AUC00231,USER00593,USER02110,5,Fast delivery and excellent communication.,2023-05-03 01:43:00
REV00130,AUC00232,USER01543,USER00913,5,"Great experience, smooth transaction!",2024-12-04 07:09:00
REV00131,AUC00234,USER01349,USER02329,4,Highly recommended seller.,2023-05-26 23:27:00
REV00132,AUC00236,USER02721,USER02217,5,"Great experience, smooth transaction!",2025-08-17 06:15:00
REV00133,AUC00237,USER01590,USER00011,5,Fast delivery and excellent communication.,2024-06-21 03:59:00
REV00134,AUC00238,USER00737,USER01176,4,"Great experience, smooth transaction!",2023-01-04 14:03:00
REV00135,AUC00240,USER00901,USER00009,4,"Item exactly as described, very happy.",2024-02-19 10:35:00
REV00136,AUC00241,USER00489,USER01999,4,Very professional and reliable.,2023-03-29 12:36:00
REV00137,AUC00246,USER01325,USER00760,3,"Average experience, nothing special.",2022-10-04 01:19:00
REV00138,AUC00251,USER01418,USER00628,5,Very professional and reliable.,2025-05-26 19:55:00
REV00139,AUC00252,USER01865,USER01624,5,"Item exactly as described, very happy.",2024-08-31 10:28:00
REV00140,AUC00256,USER02192,USER01748,1,Not satisfied with the purchase.,2022-03-08 11:18:00
REV00141,AUC00257,USER00769,USER02977,4,"Item exactly as described, very happy.",2023-12-26 17:24:00
REV00142,AUC00258,USER02674,USER00188,4,Highly recommended seller.,2023-03-12 02:08:00
REV00143,AUC00260,USER02235,USER02711,4,Fast delivery and excellent communication.,2023-12-03 02:37:00
REV00144,AUC00262,USER02533,USER01168,4,Very professional and reliable.,2024-12-13 22:13:00
REV00145,AUC00265,USER01179,USER02247,4,"Great experience, smooth transaction!",2023-12-04 00:44:00
REV00146,AUC00266,USER02198,USER00418,3,Product was fine but packaging could improve.,2024-11-02 05:22:00
REV00147,AUC00267,USER01924,USER00161,4,"Item exactly as described, very happy.",2025-08-08 04:53:00
REV00148,AUC00268,USER02206,USER01572,3,Product was fine but packaging could improve.,2022-06-17 21:52:00
REV00149,AUC00270,USER00615,USER02078,5,"Great experience, smooth transaction!",2023-05-07 09:10:00
REV00150,AUC00271,USER01073,USER02101,5,Fast delivery and excellent communication.,2022-05-08 22:12:00
REV00151,AUC00273,USER00468,USER02872,4,"Item exactly as described, very happy.",2025-10-23 04:29:00
REV00152,AUC00274,USER01659,USER02002,2,Not satisfied with the purchase.,2022-01-10 17:28:00
REV00153,AUC00275,USER00057,USER00822,3,Product was fine but packaging could improve.,2025-05-18 01:33:00
REV00154,AUC00278,USER00782,USER00259,5,Fast delivery and excellent communication.,2025-08-07 23:43:00
REV00155,AUC00279,USER01746,USER01300,5,"Great experience, smooth transaction!",2023-06-09 22:44:00
REV00156,AUC00281,USER01437,USER02935,4,"Great experience, smooth transaction!",2025-05-23 04:00:00
REV00157,AUC00282,USER02808,USER01163,4,Fast delivery and excellent communication.,2022-12-27 00:22:00
REV00158,AUC00283,USER00679,USER00892,5,"Item exactly as described, very happy.",2023-05-20 12:55:00
REV00159,AUC00284,USER01545,USER01560,5,"Item exactly as described, very happy.",2022-10-20 12:59:00
REV00160,AUC00285,USER01847,USER02540,4,Highly recommended seller.,2025-06-07 13:48:00
REV00161,AUC00286,USER01869,USER01944,5,"Item exactly as described, very happy.",2023-03-18 06:33:00
REV00162,AUC00290,USER02524,USER00450,4,Fast delivery and excellent communication.,2025-05-28 02:09:00
REV00163,AUC00291,USER00115,USER02091,4,"Item exactly as described, very happy.",2023-05-22 04:38:00
REV00164,AUC00292,USER00303,USER02937,5,Very professional and reliable.,2022-02-05 12:06:00
REV00165,AUC00293,USER02850,USER02830,3,Product was fine but packaging could improve.,2025-07-08 12:54:00
REV00166,AUC00294,USER01562,USER00079,5,"Great experience, smooth transaction!",2025-10-28 05:17:00
REV00167,AUC00296,USER02039,USER01825,2,Poor communication from seller.,2023-05-25 16:32:00
REV00168,AUC00297,USER01315,USER01985,4,Very professional and reliable.,2022-10-21 08:36:00
REV00169,AUC00298,USER02674,USER01562,2,Not satisfied with the purchase.,2024-04-25 20:33:00
REV00170,AUC00300,USER01276,USER00636,1,Not satisfied with the purchase.,2022-03-13 14:45:00
REV00171,AUC00301,USER00580,USER01528,5,"Item exactly as described, very happy.",2022-10-27 09:26:00
REV00172,AUC00305,USER00323,USER00075,4,Fast delivery and excellent communication.,2025-07-07 23:17:00
REV00173,AUC00306,USER00182,USER00514,3,Product was fine but packaging could improve.,2025-08-02 15:51:00
REV00174,AUC00309,USER01910,USER00754,4,"Item exactly as described, very happy.",2025-10-09 03:04:00
REV00175,AUC00310,USER02214,USER02319,3,Product was fine but packaging could improve.,2025-08-02 06:30:00
REV00176,AUC00311,USER01748,USER01925,4,"Item exactly as described, very happy.",2024-03-06 12:10:00
REV00177,AUC00312,USER02781,USER00341,4,"Great experience, smooth transaction!",2022-05-30 01:32:00
REV00178,AUC00313,USER02300,USER00981,3,Product was fine but packaging could improve.,2022-11-29 08:25:00
REV00179,AUC00315,USER02145,USER02920,5,"Item exactly as described, very happy.",2025-09-10 08:10:00
REV00180,AUC00317,USER00704,USER02536,4,Very professional and reliable.,2023-05-06 16:07:00
REV00181,AUC00322,USER01990,USER00915,4,Very professional and reliable.,2024-07-07 13:03:00
REV00182,AUC00324,USER02751,USER01527,2,Delivery was very late.,2022-02-02 07:26:00
REV00183,AUC00325,USER00625,USER01907,2,Delivery was very late.,2022-11-27 13:00:00
REV00184,AUC00327,USER02286,USER01362,5,Fast delivery and excellent communication.,2022-04-07 23:38:00
REV00185,AUC00330,USER02204,USER02348,5,Highly recommended seller.,2025-11-07 14:27:00
REV00186,AUC00331,USER02923,USER02128,3,Product was fine but packaging could improve.,2022-12-10 20:36:00
REV00187,AUC00332,USER01528,USER01496,4,Fast delivery and excellent communication.,2024-12-10 16:32:00
REV00188,AUC00335,USER01991,USER00752,4,"Item exactly as described, very happy.",2024-06-14 02:26:00
REV00189,AUC00336,USER01669,USER01368,4,Highly recommended seller.,2024-03-09 02:52:00
REV00190,AUC00337,USER00459,USER00468,5,Highly recommended seller.,2024-12-22 12:41:00
REV00191,AUC00339,USER01047,USER02955,4,"Item exactly as described, very happy.",2025-03-09 11:31:00
REV00192,AUC00342,USER01126,USER00495,5,Fast delivery and excellent communication.,2025-07-27 00:54:00
REV00193,AUC00345,USER02321,USER02657,5,Fast delivery and excellent communication.,2022-03-14 12:29:00
REV00194,AUC00347,USER00691,USER02287,5,Highly recommended seller.,2022-06-27 15:15:00
REV00195,AUC00348,USER01296,USER00216,3,Product was fine but packaging could improve.,2025-09-04 06:42:00
REV00196,AUC00350,USER00353,USER00879,2,Not satisfied with the purchase.,2022-04-18 17:07:00
REV00197,AUC00351,USER02507,USER00695,5,"Item exactly as described, very happy.",2023-09-28 10:19:00
REV00198,AUC00352,USER02650,USER02102,5,"Great experience, smooth transaction!",2024-04-19 17:56:00
REV00199,AUC00353,USER00242,USER02212,5,Very professional and reliable.,2025-03-27 05:41:00
REV00200,AUC00357,USER01353,USER00249,5,Very professional and reliable.,2025-04-27 10:10:00
REV00201,AUC00358,USER00330,USER00780,4,Highly recommended seller.,2024-06-05 03:35:00
REV00202,AUC00359,USER01949,USER00256,4,"Great experience, smooth transaction!",2023-10-10 02:01:00
REV00203,AUC00361,USER00100,USER00123,4,Fast delivery and excellent communication.,2023-12-25 19:46:00
REV00204,AUC00362,USER01452,USER01300,4,"Great experience, smooth transaction!",2023-12-29 18:10:00
REV00205,AUC00363,USER00181,USER01040,5,Very professional and reliable.,2023-10-06 05:36:00
REV00206,AUC00364,USER00690,USER01200,5,Very professional and reliable.,2022-06-17 19:17:00
REV00207,AUC00365,USER02587,USER00938,5,Fast delivery and excellent communication.,2025-12-30 08:13:00
REV00208,AUC00366,USER02878,USER00541,5,"Great experience, smooth transaction!",2025-04-30 16:37:00
REV00209,AUC00367,USER02261,USER01042,5,"Great experience, smooth transaction!",2022-08-27 12:48:00
REV00210,AUC00368,USER00325,USER00504,4,Very professional and reliable.,2022-02-27 18:42:00
REV00211,AUC00369,USER01177,USER00056,3,Product was fine but packaging could improve.,2023-07-29 00:21:00
REV00212,AUC00373,USER01200,USER01763,3,"Item was okay, delivery was a bit late.",2024-03-07 03:45:00
REV00213,AUC00375,USER02167,USER01383,4,"Great experience, smooth transaction!",2023-10-06 18:30:00
REV00214,AUC00376,USER02617,USER00818,5,Very professional and reliable.,2023-08-07 15:49:00
REV00215,AUC00378,USER02666,USER02385,2,Delivery was very late.,2025-07-02 12:29:00
REV00216,AUC00379,USER01077,USER01275,4,"Great experience, smooth transaction!",2023-04-29 00:31:00
REV00217,AUC00380,USER02470,USER00785,4,Fast delivery and excellent communication.,2022-06-02 23:46:00
REV00218,AUC00382,USER00973,USER00448,5,Very professional and reliable.,2025-05-03 01:37:00
REV00219,AUC00388,USER02744,USER01059,1,Poor communication from seller.,2022-07-18 06:13:00
REV00220,AUC00390,USER00986,USER02085,4,Fast delivery and excellent communication.,2024-01-31 08:07:00
REV00221,AUC00391,USER00742,USER02553,3,"Item was okay, delivery was a bit late.",2024-12-17 11:43:00
REV00222,AUC00393,USER00555,USER00755,5,Fast delivery and excellent communication.,2025-02-22 17:39:00
REV00223,AUC00394,USER01595,USER01037,5,Highly recommended seller.,2022-04-19 09:34:00
REV00224,AUC00395,USER01378,USER01992,4,Very professional and reliable.,2025-11-21 18:21:00
REV00225,AUC00397,USER00735,USER00256,5,"Item exactly as described, very happy.",2024-01-01 06:14:00
REV00226,AUC00400,USER01223,USER01874,5,Highly recommended seller.,2024-11-06 08:22:00
REV00227,AUC00404,USER01736,USER02026,5,Fast delivery and excellent communication.,2025-10-11 11:47:00
REV00228,AUC00405,USER01451,USER00066,1,Delivery was very late.,2024-05-04 06:15:00
REV00229,AUC00406,USER01572,USER00513,4,"Great experience, smooth transaction!",2023-04-16 07:59:00
REV00230,AUC00408,USER01458,USER02737,3,"Average experience, nothing special.",2025-06-20 20:51:00
REV00231,AUC00409,USER00727,USER00217,5,"Great experience, smooth transaction!",2025-09-17 18:36:00
REV00232,AUC00411,USER00642,USER01473,4,Highly recommended seller.,2024-03-31 01:38:00
REV00233,AUC00412,USER00937,USER00028,5,Fast delivery and excellent communication.,2023-11-04 12:23:00
REV00234,AUC00413,USER00896,USER02113,4,Highly recommended seller.,2025-02-03 20:11:00
REV00235,AUC00414,USER00118,USER02263,4,Fast delivery and excellent communication.,2024-08-29 20:06:00
REV00236,AUC00415,USER02148,USER00873,2,Poor communication from seller.,2022-11-12 19:54:00
REV00237,AUC00416,USER02723,USER01023,5,Highly recommended seller.,2024-12-12 16:51:00
REV00238,AUC00417,USER02826,USER00582,5,"Item exactly as described, very happy.",2025-08-25 00:00:00
REV00239,AUC00418,USER01795,USER02000,5,Highly recommended seller.,2023-06-24 07:52:00
REV00240,AUC00419,USER00732,USER02223,2,Not satisfied with the purchase.,2025-08-05 01:13:00
REV00241,AUC00422,USER02721,USER00361,5,"Item exactly as described, very happy.",2023-09-13 04:53:00
REV00242,AUC00424,USER00716,USER00386,5,"Great experience, smooth transaction!",2023-11-29 20:41:00
REV00243,AUC00425,USER01792,USER00142,5,Highly recommended seller.,2023-09-17 09:42:00
REV00244,AUC00426,USER02337,USER01723,5,Fast delivery and excellent communication.,2022-03-08 19:53:00
REV00245,AUC00428,USER00168,USER01650,5,Highly recommended seller.,2024-03-25 11:15:00
REV00246,AUC00429,USER00273,USER02614,3,Product was fine but packaging could improve.,2022-06-17 19:48:00
REV00247,AUC00430,USER00426,USER00885,1,Poor communication from seller.,2025-10-15 11:34:00
REV00248,AUC00436,USER01109,USER01466,3,"Average experience, nothing special.",2025-04-14 11:00:00
REV00249,AUC00437,USER00783,USER02697,5,"Great experience, smooth transaction!",2023-11-22 20:17:00
REV00250,AUC00439,USER01355,USER01660,5,Highly recommended seller.,2025-03-13 00:43:00
REV00251,AUC00440,USER01424,USER02536,5,Fast delivery and excellent communication.,2025-11-05 20:34:00
REV00252,AUC00441,USER00636,USER02711,5,"Item exactly as described, very happy.",2025-05-27 20:11:00
REV00253,AUC00442,USER01399,USER02821,5,Fast delivery and excellent communication.,2023-04-09 01:35:00
REV00254,AUC00443,USER00519,USER02763,5,"Item exactly as described, very happy.",2025-08-31 13:50:00
REV00255,AUC00444,USER02201,USER01562,3,"Average experience, nothing special.",2024-04-24 09:26:00
REV00256,AUC00446,USER01540,USER00091,5,Very professional and reliable.,2022-07-02 17:58:00
REV00257,AUC00448,USER02460,USER01500,2,"Item not as described, disappointed.",2023-08-07 09:15:00
REV00258,AUC00451,USER01414,USER01119,5,Very professional and reliable.,2025-08-31 03:55:00
REV00259,AUC00452,USER02885,USER00818,1,Delivery was very late.,2023-09-18 12:22:00
REV00260,AUC00454,USER00712,USER01996,5,Very professional and reliable.,2022-03-28 14:19:00
REV00261,AUC00455,USER02001,USER02059,3,"Average experience, nothing special.",2022-04-19 18:10:00
REV00262,AUC00456,USER00768,USER00068,1,Not satisfied with the purchase.,2024-08-14 10:20:00
REV00263,AUC00459,USER00423,USER00485,3,"Average experience, nothing special.",2023-12-05 03:17:00
REV00264,AUC00463,USER00423,USER02116,4,"Item exactly as described, very happy.",2022-05-18 01:59:00
REV00265,AUC00464,USER01482,USER02025,4,Highly recommended seller.,2024-04-08 14:05:00
REV00266,AUC00466,USER00641,USER01241,5,Very professional and reliable.,2025-04-11 22:43:00
REV00267,AUC00469,USER01575,USER00618,5,Very professional and reliable.,2024-05-02 05:21:00
REV00268,AUC00471,USER02604,USER00895,2,Poor communication from seller.,2025-09-21 14:18:00
REV00269,AUC00472,USER00940,USER02949,2,Delivery was very late.,2022-12-02 04:28:00
REV00270,AUC00474,USER00175,USER02474,5,Very professional and reliable.,2022-05-12 17:57:00
REV00271,AUC00476,USER02979,USER00337,5,"Item exactly as described, very happy.",2023-08-31 04:11:00
REV00272,AUC00478,USER02605,USER01996,3,Product was fine but packaging could improve.,2023-06-04 20:15:00
REV00273,AUC00479,USER00503,USER02765,1,Delivery was very late.,2025-04-21 22:28:00
REV00274,AUC00483,USER01664,USER00902,4,Fast delivery and excellent communication.,2023-04-14 22:20:00
REV00275,AUC00484,USER02513,USER02231,5,Highly recommended seller.,2025-03-13 19:29:00
REV00276,AUC00485,USER00615,USER01789,4,"Item exactly as described, very happy.",2024-11-24 09:23:00
REV00277,AUC00487,USER00858,USER01036,5,Very professional and reliable.,2023-11-26 01:57:00
REV00278,AUC00488,USER02804,USER01685,5,Fast delivery and excellent communication.,2023-06-06 07:08:00
REV00279,AUC00490,USER02209,USER01644,4,Very professional and reliable.,2025-08-24 12:58:00
REV00280,AUC00492,USER02433,USER00132,4,"Item exactly as described, very happy.",2024-12-19 21:38:00
REV00281,AUC00493,USER02042,USER01985,3,"Item was okay, delivery was a bit late.",2023-09-08 21:49:00
REV00282,AUC00494,USER01355,USER00966,5,"Great experience, smooth transaction!",2025-07-29 19:11:00
REV00283,AUC00495,USER01974,USER01377,5,"Great experience, smooth transaction!",2023-09-26 10:07:00
REV00284,AUC00496,USER00330,USER01039,5,Very professional and reliable.,2024-06-17 08:03:00
REV00285,AUC00498,USER01579,USER02992,2,Delivery was very late.,2023-10-03 12:18:00
REV00286,AUC00500,USER01522,USER00787,5,"Great experience, smooth transaction!",2025-03-21 20:11:00
