product_id,product_name,category,sub_category,brand,size,color,price,cost_price,profit_margin,launch_date
PROD00020,Zara Regular Fit Jacket,Jacket,Winter,Zara,XXL,Grey,1711,1277,434,2025-06-29
PROD00021,Levi's Stylish Shirt,Shirt,Formal,Levi's,XL,Blue,1770,1196,574,2021-03-31
PROD00022,H&M Trendy Shirt,Shirt,Formal,H&M,S,Red,2089,1314,775,2019-04-21
PROD00023,Peter England Trendy Jeans,Jeans,Casual,Peter England,XL,Red,908,640,268,2019-10-30
PROD00024,Adidas Stylish Jacket,Jacket,Casual,Adidas,S,Black,1372,858,514,2020-12-01
PROD00025,Adidas Stylish T-shirt,T-shirt,Sports,Adidas,M,Blue,2844,1975,869,2023-11-26
PROD00026,Puma Comfort Shirt,Shirt,Casual,Puma,L,Blue,2320,1600,720,2023-07-18
PROD00027,Puma Denim T-shirt,T-shirt,Casual,Puma,M,Blue,2420,1681,739,2021-02-27
PROD00028,Peter England Comfort T-shirt,T-shirt,Sports,Peter England,XL,Grey,2111,1745,366,2021-03-26
PROD00029,Allen Solly Trendy Shirt,Shirt,Formal,Allen Solly,L,Green,696,494,202,2023-02-18
PROD00030,Roadster Stylish Shirt,Shirt,Casual,Roadster,M,Grey,1431,1001,430,2020-12-01
PROD00031,US Polo Classic Jacket,Jacket,Winter,US Polo,XXL,White,1929,1519,410,2023-03-21
PROD00032,Levi's Denim T-shirt,T-shirt,Sports,Levi's,XXL,Blue,2742,1781,961,2022-01-19
PROD00033,Adidas Cotton T-shirt,T-shirt,Casual,Adidas,XL,White,1523,989,534,2021-05-13
PROD00034,Zara Regular Fit T-shirt,T-shirt,Sports,Zara,S,Blue,1863,1491,372,2020-10-09
PROD00035,US Polo Denim T-shirt,T-shirt,Sports,US Polo,L,Black,982,626,356,2023-08-10
PROD00036,H&M Regular Fit Jacket,Jacket,Casual,H&M,XL,Black,1625,1016,609,2022-11-24
PROD00037,Nike Denim Jeans,Jeans,Casual,Nike,L,Red,1838,1342,496,2022-02-11
PROD00038,Roadster Slim Fit Jeans,Jeans,Casual,Roadster,XXL,White,2054,1284,770,2020-03-22
PROD00039,H&M Cotton Jeans,Jeans,Casual,H&M,M,Blue,780,531,249,2024-09-28
PROD00040,H&M Slim Fit Shirt,Shirt,Formal,H&M,XXL,Navy,1684,1404,280,2021-04-01
PROD00041,Nike Slim Fit Shirt,Shirt,Formal,Nike,S,Red,630,420,210,2019-11-21
PROD00042,Nike Cotton Jacket,Jacket,Winter,Nike,XL,Grey,1020,823,197,2021-10-30
PROD00043,Nike Denim Jacket,Jacket,Casual,Nike,L,Blue,2252,1644,608,2022-07-13
PROD00044,Peter England Classic Jeans,Jeans,Casual,Peter England,XXL,Black,819,645,174,2024-12-23
PROD00045,Roadster Classic Jeans,Jeans,Casual,Roadster,XL,Grey,815,533,282,2021-02-08
PROD00046,Allen Solly Slim Fit Jacket,Jacket,Casual,Allen Solly,M,Black,2147,1502,645,2021-07-02
PROD00047,Zara Stylish Jacket,Jacket,Casual,Zara,L,Blue,1547,973,574,2022-03-31
PROD00048,Allen Solly Trendy Shirt,Shirt,Formal,Allen Solly,XXL,Grey,1602,1105,497,2019-12-25
PROD00049,H&M Slim Fit Shirt,Shirt,Casual,H&M,XXL,Green,3038,1973,1065,2024-03-02
PROD00050,Levi's Comfort Jacket,Jacket,Winter,Levi's,M,White,1289,962,327,2019-09-28
PROD00051,Puma Trendy Jeans,Jeans,Casual,Puma,XL,Blue,523,412,111,2020-03-03
PROD00052,H&M Premium Jacket,Jacket,Casual,H&M,XL,Green,578,383,195,2021-01-02
PROD00053,Roadster Cotton T-shirt,T-shirt,Casual,Roadster,M,Red,1251,1026,225,2024-08-25
PROD00054,Nike Comfort T-shirt,T-shirt,Casual,Nike,XL,Green,2501,1939,562,2021-06-08
PROD00055,Levi's Classic Shirt,Shirt,Formal,Levi's,S,White,1621,1074,547,2022-07-31
PROD00056,Adidas Slim Fit Jacket,Jacket,Casual,Adidas,S,Green,2487,1704,783,2023-08-30
PROD00057,Adidas Classic Shirt,Shirt,Casual,Adidas,S,Grey,2487,1704,783,2025-07-04
PROD00058,Levi's Premium Jacket,Jacket,Casual,Levi's,L,Black,2468,1815,653,2023-08-13
PROD00059,US Polo Denim Jacket,Jacket,Winter,US Polo,XL,White,1219,877,342,2025-11-12
PROD00060,Peter England Stylish T-shirt,T-shirt,Casual,Peter England,XL,Blue,552,406,146,2020-11-10
PROD00061,Peter England Premium Jeans,Jeans,Casual,Peter England,M,Black,2918,1824,1094,2021-02-27
PROD00062,Adidas Trendy Jacket,Jacket,Winter,Adidas,L,Blue,785,582,203,2020-06-18
PROD00063,Levi's Cotton Shirt,Shirt,Casual,Levi's,M,Grey,629,508,121,2024-07-26
PROD00064,Allen Solly Cotton Shirt,Shirt,Formal,Allen Solly,S,Blue,1101,744,357,2025-09-18
PROD00065,US Polo Comfort Jeans,Jeans,Casual,US Polo,M,Grey,2260,1884,376,2024-07-16
PROD00066,Zara Cotton Jeans,Jeans,Casual,Zara,L,Green,2322,1624,698,2022-04-08
PROD00067,Levi's Denim Shirt,Shirt,Formal,Levi's,M,Green,751,529,222,2021-05-04
PROD00068,Adidas Comfort T-shirt,T-shirt,Sports,Adidas,XL,Green,708,499,209,2022-04-30
PROD00069,Puma Premium T-shirt,T-shirt,Sports,Puma,L,Navy,2400,1727,673,2020-06-21
PROD00070,Puma Comfort Shirt,Shirt,Formal,Puma,XXL,Blue,1152,873,279,2024-04-08
PROD00071,US Polo Premium Jeans,Jeans,Casual,US Polo,XL,Black,446,369,77,2022-11-11
PROD00072,H&M Trendy T-shirt,T-shirt,Casual,H&M,XL,White,2462,1909,553,2023-03-07
PROD00073,Nike Regular Fit Shirt,Shirt,Formal,Nike,XL,Black,1949,1511,438,2021-07-17
PROD00074,Zara Classic T-shirt,T-shirt,Casual,Zara,M,Blue,2698,1836,862,2019-02-22
PROD00075,Allen Solly Stylish Jacket,Jacket,Casual,Allen Solly,S,Grey,2174,1440,734,2025-03-24
PROD00076,Zara Stylish T-shirt,T-shirt,Casual,Zara,L,White,2681,1776,905,2024-06-08
PROD00077,Nike Slim Fit Jeans,Jeans,Casual,Nike,S,Navy,2395,1886,509,2019-01-27
PROD00078,Puma Denim Jeans,Jeans,Casual,Puma,S,Black,2130,1704,426,2025-12-12
PROD00079,H&M Slim Fit Shirt,Shirt,Casual,H&M,XL,Navy,770,558,212,2024-09-29
PROD00080,Allen Solly Stylish Shirt,Shirt,Casual,Allen Solly,L,White,2991,1930,1061,2019-04-17
PROD00081,Roadster Slim Fit T-shirt,T-shirt,Sports,Roadster,XL,Navy,1221,879,342,2021-09-27
PROD00082,Zara Stylish T-shirt,T-shirt,Sports,Zara,M,Blue,783,598,185,2020-06-16
PROD00083,H&M Premium Shirt,Shirt,Formal,H&M,XXL,Green,1071,687,384,2023-07-26
PROD00084,Zara Cotton T-shirt,T-shirt,Casual,Zara,S,Grey,1451,913,538,2025-10-01
PROD00085,Puma Trendy Jeans,Jeans,Casual,Puma,XL,Grey,2056,1399,657,2022-04-04
PROD00086,Adidas Comfort Shirt,Shirt,Casual,Adidas,XXL,Black,2542,1778,764,2020-11-24
PROD00087,Levi's Slim Fit Jacket,Jacket,Casual,Levi's,XL,Navy,1553,1151,402,2025-04-30
PROD00088,Peter England Comfort Jeans,Jeans,Casual,Peter England,M,Navy,408,340,68,2021-10-20
PROD00089,Levi's Comfort Shirt,Shirt,Formal,Levi's,XL,Navy,2708,1881,827,2022-01-04
PROD00090,Adidas Denim Shirt,Shirt,Formal,Adidas,M,Navy,1078,696,382,2022-08-10
PROD00091,Roadster Comfort Jeans,Jeans,Casual,Roadster,L,Black,2063,1404,659,2025-06-07
PROD00092,Allen Solly Classic Jeans,Jeans,Casual,Allen Solly,XXL,Red,2487,1681,806,2020-06-02
PROD00093,H&M Classic Jeans,Jeans,Casual,H&M,M,Red,2032,1666,366,2020-12-20
PROD00094,Levi's Premium T-shirt,T-shirt,Casual,Levi's,L,Red,732,572,160,2025-01-10
PROD00095,Levi's Comfort Shirt,Shirt,Casual,Levi's,M,Red,718,544,174,2025-05-24
PROD00096,H&M Trendy Jacket,Jacket,Casual,H&M,M,Blue,808,550,258,2020-04-28
PROD00097,Puma Comfort T-shirt,T-shirt,Sports,Puma,XL,Navy,1320,836,484,2020-09-18
PROD00098,H&M Trendy Shirt,Shirt,Casual,H&M,S,Grey,2396,1536,860,2019-05-12
PROD00099,Roadster Classic T-shirt,T-shirt,Sports,Roadster,M,Blue,1941,1471,470,2022-12-25
PROD00100,Zara Comfort Jeans,Jeans,Casual,Zara,S,Black,757,526,231,2020-09-14
PROD00101,Nike Trendy T-shirt,T-shirt,Sports,Nike,L,Grey,1228,975,253,2025-04-07
PROD00102,Zara Classic Jeans,Jeans,Casual,Zara,XXL,Blue,1808,1507,301,2024-05-08
PROD00103,US Polo Trendy Jacket,Jacket,Winter,US Polo,S,Green,538,405,133,2025-03-29
PROD00104,Adidas Cotton Jacket,Jacket,Winter,Adidas,XXL,Navy,2049,1553,496,2025-04-01
PROD00105,Peter England Stylish Jeans,Jeans,Casual,Peter England,M,Black,1765,1132,633,2025-07-27
PROD00106,Roadster Cotton Jacket,Jacket,Winter,Roadster,M,Red,1454,1024,430,2025-02-10
PROD00107,Allen Solly Denim Jeans,Jeans,Casual,Allen Solly,XXL,Navy,2917,1870,1047,2023-02-16
PROD00108,Allen Solly Slim Fit Jeans,Jeans,Casual,Allen Solly,XL,White,1448,905,543,2023-07-22
PROD00109,Peter England Cotton Jeans,Jeans,Casual,Peter England,XL,Navy,1204,753,451,2025-11-28
PROD00110,Puma Denim T-shirt,T-shirt,Casual,Puma,XL,Navy,1201,852,349,2021-10-12
PROD00111,US Polo Slim Fit Shirt,Shirt,Casual,US Polo,XL,Green,1014,805,209,2024-12-18
PROD00112,Zara Stylish Jeans,Jeans,Casual,Zara,XL,Red,2232,1860,372,2020-03-20
PROD00113,Puma Trendy Jeans,Jeans,Casual,Puma,XL,Grey,705,458,247,2024-11-02
PROD00114,Roadster Comfort Shirt,Shirt,Formal,Roadster,M,Black,2618,1884,734,2023-03-24
PROD00115,Nike Comfort Jacket,Jacket,Casual,Nike,XL,Red,917,717,200,2025-12-08
PROD00116,Adidas Premium Jacket,Jacket,Winter,Adidas,L,White,2380,1700,680,2021-05-15
PROD00117,Zara Stylish Jacket,Jacket,Winter,Zara,L,Red,1107,820,287,2021-01-15
PROD00118,Adidas Premium Shirt,Shirt,Formal,Adidas,S,Blue,2081,1679,402,2022-08-23
PROD00119,Peter England Regular Fit Jeans,Jeans,Casual,Peter England,L,Grey,629,477,152,2020-07-11
PROD00120,Roadster Trendy Shirt,Shirt,Casual,Roadster,S,White,1158,788,370,2022-01-01
PROD00121,Zara Premium Jacket,Jacket,Winter,Zara,L,Blue,1147,765,382,2024-04-16
PROD00122,Adidas Classic Jacket,Jacket,Winter,Adidas,S,White,404,334,70,2024-05-31
PROD00123,Adidas Regular Fit T-shirt,T-shirt,Casual,Adidas,S,Green,509,356,153,2025-06-10
PROD00124,Adidas Premium T-shirt,T-shirt,Casual,Adidas,XL,Red,1052,768,284,2021-04-19
PROD00125,US Polo Classic Jeans,Jeans,Casual,US Polo,XXL,Black,1567,1215,352,2023-11-17
PROD00126,H&M Slim Fit Jeans,Jeans,Casual,H&M,XXL,Black,639,516,123,2023-12-03
PROD00127,US Polo Stylish Shirt,Shirt,Formal,US Polo,S,Grey,2667,1790,877,2024-09-22
PROD00128,US Polo Cotton Jeans,Jeans,Casual,US Polo,L,Red,2753,1732,1021,2022-11-08
PROD00129,Roadster Trendy Jeans,Jeans,Casual,Roadster,S,Red,1035,729,306,2022-03-29
PROD00130,Adidas Trendy Jacket,Jacket,Winter,Adidas,M,Blue,636,497,139,2021-11-15
PROD00131,Roadster Denim Jeans,Jeans,Casual,Roadster,XXL,Blue,1032,833,199,2019-09-23
PROD00132,Peter England Denim Jacket,Jacket,Winter,Peter England,XL,Red,1595,1308,287,2025-03-05
PROD00133,Nike Slim Fit Shirt,Shirt,Formal,Nike,S,Green,1399,1037,362,2020-06-07
PROD00134,Allen Solly Classic Jeans,Jeans,Casual,Allen Solly,S,Black,1276,1046,230,2021-06-07
PROD00135,Roadster Trendy Shirt,Shirt,Formal,Roadster,M,White,1045,850,195,2023-03-04
PROD00136,Allen Solly Trendy Jacket,Jacket,Winter,Allen Solly,L,Navy,607,467,140,2019-05-16
PROD00137,Nike Premium Jacket,Jacket,Casual,Nike,XXL,Green,931,609,322,2022-05-10
PROD00138,Adidas Comfort Jeans,Jeans,Casual,Adidas,L,Navy,2741,1780,961,2019-09-30
PROD00139,Adidas Stylish Shirt,Shirt,Formal,Adidas,XXL,Navy,1027,734,293,2025-09-10
PROD00140,Levi's Comfort T-shirt,T-shirt,Sports,Levi's,L,Blue,2294,1807,487,2023-01-17
PROD00141,Nike Stylish Shirt,Shirt,Formal,Nike,M,Green,1721,1304,417,2023-12-15
PROD00142,Nike Cotton Jacket,Jacket,Winter,Nike,XL,Navy,1583,1173,410,2023-09-18
PROD00143,Peter England Trendy Jacket,Jacket,Casual,Peter England,XL,Black,965,657,308,2023-01-31
PROD00144,H&M Cotton Shirt,Shirt,Formal,H&M,S,Blue,2274,1805,469,2024-09-16
PROD00145,US Polo Premium Jacket,Jacket,Casual,US Polo,M,Grey,2474,1964,510,2020-07-01
PROD00146,Nike Cotton Jacket,Jacket,Casual,Nike,XL,Blue,2390,1825,565,2019-08-21
PROD00147,US Polo Premium Jeans,Jeans,Casual,US Polo,L,Black,599,451,148,2025-05-25
PROD00148,Allen Solly Trendy Jacket,Jacket,Winter,Allen Solly,M,Navy,1041,814,227,2019-07-31
PROD00149,Adidas Comfort Jeans,Jeans,Casual,Adidas,XL,Blue,1828,1511,317,2021-04-22
PROD00150,Allen Solly Regular Fit Shirt,Shirt,Formal,Allen Solly,XXL,Navy,1230,885,345,2022-06-03
PROD00151,Zara Regular Fit Jacket,Jacket,Winter,Zara,XL,Blue,576,461,115,2024-06-06
PROD00152,Zara Regular Fit Shirt,Shirt,Casual,Zara,S,White,2771,1732,1039,2023-10-30
PROD00153,Allen Solly Classic Jeans,Jeans,Casual,Allen Solly,XXL,Navy,1347,956,391,2022-09-23
PROD00154,Peter England Premium Shirt,Shirt,Casual,Peter England,XL,Red,1727,1319,408,2025-01-02
PROD00155,US Polo Trendy T-shirt,T-shirt,Sports,US Polo,S,Black,1593,1207,386,2025-03-06
PROD00156,Adidas Regular Fit Jeans,Jeans,Casual,Adidas,M,Blue,573,380,193,2022-07-27
PROD00157,US Polo Regular Fit Jeans,Jeans,Casual,US Polo,S,Navy,2674,1924,750,2021-09-02
PROD00158,Puma Stylish Jeans,Jeans,Casual,Puma,S,Black,1933,1289,644,2024-05-02
PROD00159,Zara Denim Jacket,Jacket,Winter,Zara,XL,Black,598,475,123,2021-02-04
PROD00160,Zara Classic Jacket,Jacket,Winter,Zara,XXL,Red,1161,873,288,2020-11-21
PROD00161,Roadster Denim Jeans,Jeans,Casual,Roadster,L,Red,1977,1545,432,2021-02-06
PROD00162,Allen Solly Denim Shirt,Shirt,Formal,Allen Solly,M,Red,739,510,229,2023-07-22
PROD00163,H&M Regular Fit Jacket,Jacket,Casual,H&M,M,Grey,875,565,310,2020-06-02
PROD00164,Nike Classic Jacket,Jacket,Casual,Nike,XL,Blue,2318,1730,588,2023-04-26
PROD00165,US Polo Slim Fit Jacket,Jacket,Winter,US Polo,S,White,820,662,158,2024-07-12
PROD00166,Adidas Premium Jacket,Jacket,Casual,Adidas,XXL,Blue,823,521,302,2021-12-27
PROD00167,Adidas Premium Jacket,Jacket,Casual,Adidas,XL,Black,1459,1177,282,2021-09-01
PROD00168,Adidas Classic Shirt,Shirt,Formal,Adidas,XXL,Black,1202,891,311,2021-04-15
PROD00169,H&M Slim Fit T-shirt,T-shirt,Casual,H&M,L,Grey,1057,867,190,2025-03-19
PROD00170,Adidas Comfort Jacket,Jacket,Winter,Adidas,XXL,Grey,610,477,133,2022-07-13
PROD00171,Puma Slim Fit T-shirt,T-shirt,Sports,Puma,XL,Red,1489,1231,258,2024-03-24
PROD00172,H&M Cotton Shirt,Shirt,Casual,H&M,M,Red,2296,1852,444,2020-12-13
PROD00173,Levi's Cotton Jeans,Jeans,Casual,Levi's,S,Blue,1093,882,211,2025-10-31
PROD00174,Zara Cotton T-shirt,T-shirt,Sports,Zara,XXL,Blue,2427,1686,741,2024-08-31
PROD00175,US Polo Denim T-shirt,T-shirt,Sports,US Polo,L,Green,680,466,214,2025-12-29
PROD00176,Allen Solly Classic Jeans,Jeans,Casual,Allen Solly,XXL,Red,2360,1617,743,2020-09-02
PROD00177,Roadster Stylish Shirt,Shirt,Formal,Roadster,XXL,Green,2839,1893,946,2023-11-14
PROD00178,Peter England Classic Jeans,Jeans,Casual,Peter England,XL,Navy,2210,1504,706,2024-10-24
PROD00179,Zara Slim Fit Jacket,Jacket,Winter,Zara,XXL,Grey,1963,1275,688,2025-07-20
PROD00180,Adidas Trendy T-shirt,T-shirt,Sports,Adidas,XXL,Black,2388,1974,414,2019-11-18
PROD00181,Allen Solly Trendy Jacket,Jacket,Winter,Allen Solly,S,Blue,1168,853,315,2023-04-17
PROD00182,Levi's Denim Jacket,Jacket,Winter,Levi's,XL,Black,2803,1752,1051,2021-03-18
PROD00183,H&M Slim Fit Shirt,Shirt,Formal,H&M,S,Blue,517,414,103,2022-11-13
PROD00184,US Polo Cotton T-shirt,T-shirt,Casual,US Polo,XL,Black,1582,1266,316,2019-03-28
PROD00185,Adidas Slim Fit Shirt,Shirt,Formal,Adidas,XXL,White,1231,985,246,2023-08-29
PROD00186,Puma Trendy T-shirt,T-shirt,Casual,Puma,L,Blue,2132,1412,720,2019-07-10
PROD00187,Roadster Regular Fit T-shirt,T-shirt,Sports,Roadster,S,White,1906,1324,582,2022-09-09
PROD00188,H&M Regular Fit Shirt,Shirt,Casual,H&M,S,Grey,2395,1829,566,2021-03-23
PROD00189,Adidas Trendy Jacket,Jacket,Winter,Adidas,XXL,Navy,1996,1358,638,2025-04-17
PROD00190,Adidas Denim T-shirt,T-shirt,Casual,Adidas,M,White,3055,1971,1084,2025-01-28
PROD00191,Peter England Slim Fit Jacket,Jacket,Winter,Peter England,S,Green,2260,1638,622,2022-11-11
PROD00192,US Polo Premium T-shirt,T-shirt,Sports,US Polo,S,Black,910,595,315,2021-08-01
PROD00193,Nike Regular Fit T-shirt,T-shirt,Sports,Nike,M,Navy,1132,792,340,2019-08-30
PROD00194,H&M Trendy Shirt,Shirt,Formal,H&M,M,White,1705,1273,432,2019-10-15
PROD00195,Peter England Slim Fit Jeans,Jeans,Casual,Peter England,M,Black,2952,1917,1035,2022-02-04
PROD00196,Nike Slim Fit Shirt,Shirt,Casual,Nike,S,Green,1220,1000,220,2024-07-01
PROD00197,Adidas Classic Jeans,Jeans,Casual,Adidas,M,Green,1595,1287,308,2025-09-17
PROD00198,Adidas Stylish Jeans,Jeans,Casual,Adidas,XL,Grey,3192,1995,1197,2022-12-10
PROD00199,Puma Slim Fit Jacket,Jacket,Winter,Puma,L,White,1771,1143,628,2020-05-16
PROD00200,Allen Solly Stylish Shirt,Shirt,Formal,Allen Solly,L,Red,2105,1462,643,2023-07-10
PROD00201,Puma Slim Fit Jeans,Jeans,Casual,Puma,L,Red,2518,1702,816,2020-08-18
PROD00202,Puma Premium Shirt,Shirt,Casual,Puma,S,Blue,1818,1212,606,2023-04-19
PROD00203,Levi's Comfort Shirt,Shirt,Formal,Levi's,XL,Navy,3102,1976,1126,2024-04-13
PROD00204,Levi's Classic T-shirt,T-shirt,Casual,Levi's,S,Red,2256,1475,781,2019-03-16
PROD00205,H&M Denim T-shirt,T-shirt,Sports,H&M,S,Green,874,603,271,2025-02-01
PROD00206,Roadster Cotton Jacket,Jacket,Winter,Roadster,XL,Green,458,342,116,2020-05-17
PROD00207,US Polo Stylish Shirt,Shirt,Casual,US Polo,L,Grey,1202,994,208,2023-07-08
PROD00208,Peter England Premium Jeans,Jeans,Casual,Peter England,XXL,Red,2728,1807,921,2025-12-06
PROD00209,Nike Comfort Jacket,Jacket,Winter,Nike,XXL,Green,513,327,186,2024-12-30
PROD00210,Levi's Comfort Jacket,Jacket,Casual,Levi's,S,Black,1321,887,434,2023-03-10
PROD00211,Levi's Premium Shirt,Shirt,Formal,Levi's,M,White,1818,1455,363,2025-07-29
PROD00212,H&M Denim Jeans,Jeans,Casual,H&M,S,Green,1300,922,378,2019-07-06
PROD00213,Allen Solly Stylish T-shirt,T-shirt,Sports,Allen Solly,XXL,Green,1573,1116,457,2024-02-28
PROD00214,Peter England Trendy T-shirt,T-shirt,Sports,Peter England,XL,Green,465,385,80,2019-07-06
PROD00215,Nike Premium Shirt,Shirt,Casual,Nike,L,Green,1652,1039,613,2021-07-13
PROD00216,Zara Classic T-shirt,T-shirt,Casual,Zara,XL,White,2632,1894,738,2023-08-29
PROD00217,Zara Denim Jeans,Jeans,Casual,Zara,L,Navy,1452,975,477,2023-03-27
PROD00218,US Polo Classic T-shirt,T-shirt,Sports,US Polo,XXL,Blue,764,484,280,2025-03-13
PROD00219,US Polo Premium Jeans,Jeans,Casual,US Polo,L,Grey,1050,705,345,2020-09-24
PROD00220,Allen Solly Premium Jeans,Jeans,Casual,Allen Solly,XXL,Grey,1899,1210,689,2023-08-01
PROD00221,Nike Trendy Jacket,Jacket,Winter,Nike,L,Black,1049,714,335,2025-12-13
PROD00222,Levi's Regular Fit Jeans,Jeans,Casual,Levi's,XXL,Red,2094,1649,445,2023-12-21
PROD00223,Levi's Denim Jacket,Jacket,Casual,Levi's,L,Red,1627,1138,489,2024-12-26
PROD00224,H&M Classic T-shirt,T-shirt,Sports,H&M,XXL,Red,779,569,210,2021-04-04
PROD00225,Puma Denim Shirt,Shirt,Casual,Puma,M,Navy,2680,1675,1005,2025-03-21
PROD00226,Adidas Cotton Jacket,Jacket,Winter,Adidas,XL,Green,1867,1262,605,2019-03-09
PROD00227,H&M Denim Jeans,Jeans,Casual,H&M,XXL,Blue,2764,1831,933,2024-11-19
PROD00228,Allen Solly Classic T-shirt,T-shirt,Casual,Allen Solly,XXL,Green,2267,1859,408,2019-01-18
PROD00229,Puma Cotton Shirt,Shirt,Formal,Puma,XXL,Red,2387,1624,763,2024-08-22
PROD00230,Roadster Slim Fit Jacket,Jacket,Casual,Roadster,M,Red,896,741,155,2022-07-31
PROD00231,H&M Slim Fit Shirt,Shirt,Casual,H&M,M,Red,503,390,113,2020-09-10
PROD00232,Allen Solly Comfort Shirt,Shirt,Casual,Allen Solly,S,Red,2238,1533,705,2022-03-28
PROD00233,Adidas Denim Jeans,Jeans,Casual,Adidas,S,Navy,1669,1237,432,2024-11-30
PROD00234,US Polo Stylish Jeans,Jeans,Casual,US Polo,M,Navy,1987,1430,557,2024-05-25
PROD00235,Puma Stylish T-shirt,T-shirt,Casual,Puma,XXL,Black,1981,1651,330,2022-11-14
PROD00236,Adidas Cotton Jacket,Jacket,Winter,Adidas,L,Navy,1838,1352,486,2021-10-16
PROD00237,Zara Slim Fit Jacket,Jacket,Winter,Zara,M,Red,620,474,146,2023-12-28
PROD00238,Peter England Classic Jacket,Jacket,Casual,Peter England,XXL,White,694,457,237,2025-10-12
PROD00239,Levi's Premium Shirt,Shirt,Formal,Levi's,S,Blue,2862,1859,1003,2024-02-13
PROD00240,Nike Classic Shirt,Shirt,Casual,Nike,L,Green,1113,714,399,2020-04-06
PROD00241,Roadster Comfort Shirt,Shirt,Casual,Roadster,L,Black,2494,1641,853,2019-10-16
PROD00242,US Polo Premium Shirt,Shirt,Casual,US Polo,XXL,Navy,1436,909,527,2024-08-22
PROD00243,Zara Regular Fit T-shirt,T-shirt,Casual,Zara,M,White,632,514,118,2021-04-07
PROD00244,Roadster Trendy Jacket,Jacket,Casual,Roadster,XXL,Navy,1590,1060,530,2022-12-26
PROD00245,US Polo Regular Fit Jacket,Jacket,Winter,US Polo,L,White,724,537,187,2023-01-04
PROD00246,Nike Regular Fit Jacket,Jacket,Casual,Nike,XL,Grey,2286,1905,381,2020-01-21
PROD00247,Nike Slim Fit T-shirt,T-shirt,Sports,Nike,L,Red,884,731,153,2025-10-26
PROD00248,Allen Solly Comfort Jacket,Jacket,Winter,Allen Solly,L,Grey,1234,812,422,2023-01-20
PROD00249,Allen Solly Slim Fit Jacket,Jacket,Winter,Allen Solly,XXL,Red,668,461,207,2020-10-12
PROD00250,Roadster Cotton Jacket,Jacket,Winter,Roadster,S,Navy,2714,1822,892,2025-01-13
PROD00251,Nike Cotton T-shirt,T-shirt,Sports,Nike,XXL,Black,2514,1722,792,2022-02-05
PROD00252,Allen Solly Premium T-shirt,T-shirt,Sports,Allen Solly,L,White,2571,1726,845,2025-05-06
PROD00253,Zara Trendy Shirt,Shirt,Casual,Zara,M,Grey,1054,787,267,2020-10-09
PROD00254,Adidas Regular Fit Shirt,Shirt,Casual,Adidas,L,Navy,2528,1945,583,2019-08-26
PROD00255,Zara Comfort T-shirt,T-shirt,Sports,Zara,L,Green,649,442,207,2020-04-26
PROD00256,US Polo Comfort Shirt,Shirt,Formal,US Polo,S,Grey,2782,1919,863,2023-03-16
PROD00257,H&M Trendy Jacket,Jacket,Winter,H&M,S,Navy,1747,1092,655,2024-04-05
PROD00258,Levi's Trendy T-shirt,T-shirt,Sports,Levi's,XXL,Black,2514,1722,792,2022-11-27
PROD00259,Adidas Cotton Jacket,Jacket,Casual,Adidas,L,Blue,2067,1334,733,2019-08-15
PROD00260,US Polo Stylish Shirt,Shirt,Casual,US Polo,S,Navy,2577,1674,903,2024-05-16
